dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-01,5,5,0,0,0,0
2020-04-09,1,6,0,0,0,0
2020-04-13,4,10,0,0,0,0
2020-04-14,1,11,0,0,0,0
2020-04-20,1,12,0,0,0,0
2020-04-27,0,12,10,10,0,0
2020-05-02,0,12,1,11,0,0
2020-05-05,0,12,1,12,0,0
2020-05-14,1,13,0,12,0,0
2020-05-16,9,22,0,12,0,0
2020-05-17,4,26,0,12,0,0
2020-05-20,0,26,1,13,0,0
2020-05-21,2,28,0,13,0,0
2020-05-23,0,28,13,26,0,0
2020-05-24,0,28,-1,25,0,0
2020-05-26,0,28,1,26,0,0
2020-05-27,3,31,0,26,0,0
2020-05-28,0,31,1,27,0,0
2020-05-30,1,32,1,28,0,0
2020-05-31,1,33,0,28,0,0
2020-06-01,1,34,0,28,0,0
2020-06-02,1,35,0,28,0,0
2020-06-03,0,35,1,29,0,0
2020-06-04,-1,34,1,30,0,0
2020-06-05,1,35,0,30,0,0
2020-06-06,0,35,0,30,0,0
2020-06-08,7,42,2,32,0,0
2020-06-10,2,44,3,35,0,0
2020-06-11,6,50,-2,33,0,0
2020-06-12,12,62,6,39,0,0
2020-06-13,13,75,0,39,0,0
2020-06-14,15,90,0,39,0,0
2020-06-15,-33,57,1,40,0,0
2020-06-16,-2,55,1,41,0,0
2020-06-17,10,65,0,41,0,0
2020-06-18,7,72,4,45,0,0
2020-06-19,8,80,4,49,1,1
2020-06-20,15,95,0,49,0,1
2020-06-21,-20,75,0,49,0,1
2020-06-22,28,103,4,53,0,1
2020-06-24,7,110,5,58,0,1
2020-06-25,25,135,3,61,0,1
2020-06-26,-5,130,10,71,0,1
2020-06-27,27,157,-10,61,1,2
2020-06-28,11,168,1,62,0,2
2020-06-29,21,189,0,62,0,2
2020-06-30,52,241,25,87,0,2
2020-07-01,27,268,-1,86,0,2
2020-07-02,63,331,10,96,2,4
2020-07-03,45,376,22,118,0,4
2020-07-04,49,425,43,161,0,4
2020-07-05,87,512,17,178,3,7
2020-07-06,52,564,39,217,0,7
2020-07-07,12,576,64,281,0,7
2020-07-08,35,611,67,348,2,9
2020-07-09,64,675,61,409,0,9
2020-07-10,45,720,16,425,2,11
