dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-01,20,20,0,0,0,0
2020-04-03,1,21,0,0,0,0
2020-04-04,2,23,0,0,1,1
2020-04-05,1,24,0,0,0,1
2020-04-08,16,40,0,0,0,1
2020-04-09,1,41,0,0,0,1
2020-04-15,1,42,0,0,0,1
2020-04-17,2,44,0,0,0,1
2020-04-27,0,44,1,1,0,1
2020-04-30,0,44,1,2,0,1
2020-05-02,0,44,5,7,0,1
2020-05-05,5,49,0,7,0,1
2020-05-06,2,51,0,7,0,1
2020-05-07,3,54,0,7,0,1
2020-05-08,1,55,0,7,0,1
2020-05-09,2,57,0,7,0,1
2020-05-10,3,60,0,7,0,1
2020-05-12,7,67,0,7,0,1
2020-05-13,5,72,0,7,0,1
2020-05-14,0,72,0,7,0,1
2020-05-15,6,78,0,7,0,1
2020-05-16,1,79,1,8,0,1
2020-05-18,9,88,0,8,0,1
2020-05-19,1,89,0,8,0,1
2020-05-20,3,92,1,9,0,1
2020-05-21,4,96,0,9,0,1
2020-05-22,5,101,6,15,1,2
2020-05-23,1,102,0,15,0,2
2020-05-24,4,106,4,19,0,2
2020-05-25,2,108,0,19,0,2
2020-05-26,0,108,9,28,0,2
2020-05-27,0,108,12,40,0,2
2020-05-28,0,108,2,42,0,2
2020-05-29,0,108,6,48,0,2
2020-05-30,1,109,3,51,0,2
2020-06-01,0,109,6,57,0,2
2020-06-02,5,114,6,63,0,2
2020-06-03,1,115,1,64,0,2
2020-06-04,4,119,0,64,0,2
2020-06-05,2,121,0,64,0,2
2020-06-06,0,121,6,70,0,2
2020-06-07,3,124,0,70,0,2
2020-06-08,2,126,0,70,0,2
2020-06-09,-1,125,0,70,0,2
2020-06-10,9,134,0,70,0,2
2020-06-11,3,137,1,71,0,2
2020-06-12,1,138,0,71,0,2
2020-06-13,0,138,7,78,0,2
2020-06-14,8,146,0,78,0,2
2020-06-15,11,157,2,80,0,2
2020-06-16,4,161,0,80,0,2
2020-06-17,3,164,3,83,0,2
2020-06-18,6,170,5,88,0,2
2020-06-19,15,185,0,88,0,2
2020-06-20,8,193,0,88,0,2
2020-06-21,7,200,2,90,0,2
2020-06-22,36,236,4,94,0,2
2020-06-23,48,284,0,94,0,2
2020-06-24,81,365,5,99,0,2
2020-06-25,72,437,0,99,0,2
2020-06-26,40,477,9,108,0,2
2020-06-27,36,513,4,112,0,2
2020-06-28,62,575,5,117,0,2
2020-06-29,51,626,3,120,0,2
2020-06-30,76,702,8,128,0,2
2020-07-01,34,736,8,136,1,3
2020-07-02,65,801,20,156,1,4
2020-07-03,126,927,43,199,1,5
2020-07-04,58,985,34,233,0,5
2020-07-05,24,1009,100,333,2,7
2020-07-06,119,1128,9,342,0,7
2020-07-07,94,1222,45,387,0,7
2020-07-08,75,1297,17,404,4,11
2020-07-09,90,1387,40,444,0,11
2020-07-10,108,1495,5,449,3,14
