dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-02,1,1,0,0,0,0
2020-04-04,10,11,0,0,0,0
2020-04-05,1,12,0,0,0,0
2020-04-08,1,13,0,0,0,0
2020-04-11,16,29,0,0,0,0
2020-04-12,1,30,0,0,0,0
2020-04-13,4,34,0,0,0,0
2020-04-15,7,41,0,0,0,0
2020-04-16,1,42,0,0,0,0
2020-04-17,5,47,0,0,0,0
2020-04-20,2,49,0,0,0,0
2020-04-22,2,51,0,0,0,0
2020-04-24,2,53,0,0,0,0
2020-04-26,1,54,0,0,0,0
2020-04-28,0,54,15,15,0,0
2020-04-29,1,55,1,16,0,0
2020-04-30,1,56,0,16,0,0
2020-05-01,6,62,14,30,0,0
2020-05-02,8,70,1,31,0,0
2020-05-03,2,72,0,31,0,0
2020-05-04,9,81,1,32,0,0
2020-05-05,20,101,3,35,0,0
2020-05-06,34,135,1,36,0,0
2020-05-07,63,198,0,36,1,1
2020-05-08,75,273,3,39,0,1
2020-05-09,26,299,8,47,0,1
2020-05-10,47,346,2,49,1,2
2020-05-11,97,443,1,50,0,2
2020-05-12,27,470,2,52,1,3
2020-05-13,25,495,16,68,0,3
2020-05-14,0,495,0,68,0,3
2020-05-15,21,516,2,70,0,3
2020-05-16,10,526,92,162,0,3
2020-05-17,18,544,2,164,2,5
2020-05-18,19,563,1,165,0,5
2020-05-19,8,571,6,171,1,6
2020-05-20,23,594,6,177,1,7
2020-05-21,42,636,24,201,0,7
2020-05-22,39,675,28,229,0,7
2020-05-23,22,697,20,249,0,7
2020-05-24,34,731,7,256,1,8
2020-05-25,37,768,56,312,0,8
2020-05-26,25,793,141,453,0,8
2020-05-27,32,825,3,456,1,9
2020-05-28,38,863,44,500,0,9
2020-05-29,9,872,20,520,1,10
2020-05-30,28,900,30,550,0,10
2020-05-31,47,947,39,589,0,10
2020-06-01,33,980,8,597,0,10
2020-06-02,43,1023,5,602,0,10
2020-06-03,58,1081,14,616,0,10
2020-06-04,43,1124,15,631,1,11
2020-06-05,64,1188,2,633,0,11
2020-06-06,86,1274,21,654,0,11
2020-06-07,55,1329,14,668,1,12
2020-06-08,57,1386,50,718,2,14
2020-06-09,90,1476,39,757,1,15
2020-06-10,105,1581,24,781,0,15
2020-06-11,75,1656,12,793,1,16
2020-06-12,96,1752,23,816,1,17
2020-06-13,45,1797,18,834,4,21
2020-06-14,68,1865,7,841,1,22
2020-06-15,57,1922,26,867,5,27
2020-06-16,23,1945,33,900,3,30
2020-06-17,92,2037,106,1006,1,31
2020-06-18,118,2155,97,1103,1,32
2020-06-19,136,2291,13,1116,1,33
2020-06-20,123,2414,47,1163,1,34
2020-06-21,120,2534,63,1226,3,37
2020-06-22,111,2645,187,1413,5,42
2020-06-23,181,2826,43,1456,2,44
2020-06-24,81,2907,-2,1454,1,45
2020-06-25,178,3085,406,1860,6,51
2020-06-26,192,3277,49,1909,4,55
2020-06-27,143,3420,108,2017,3,58
2020-06-28,104,3524,125,2142,3,61
2020-06-29,132,3656,89,2231,5,66
2020-06-30,174,3830,128,2359,3,69
2020-07-01,148,3978,131,2490,5,74
2020-07-02,189,4167,144,2634,5,79
2020-07-03,176,4343,145,2779,3,82
2020-07-04,253,4596,102,2881,2,84
2020-07-05,210,4806,167,3048,10,94
2020-07-06,177,4983,155,3203,6,100
2020-07-07,222,5205,139,3342,5,105
2020-07-08,302,5507,101,3443,6,111
2020-07-09,370,5877,134,3577,6,117
2020-07-10,198,6075,145,3722,1,118
