dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-31,3,3,0,0,0,0
2020-04-03,10,13,0,0,0,0
2020-04-04,1,14,0,0,1,1
2020-04-05,5,19,0,0,0,1
2020-04-06,1,20,0,0,0,1
2020-04-08,4,24,0,0,0,1
2020-04-10,3,27,0,0,0,1
2020-04-16,1,28,0,0,0,1
2020-04-17,2,30,0,0,0,1
2020-04-19,7,37,0,0,0,1
2020-04-20,3,40,0,0,0,1
2020-04-21,4,44,0,0,0,1
2020-04-22,1,45,0,0,0,1
2020-04-23,1,46,0,0,0,1
2020-04-25,1,47,0,0,0,1
2020-04-26,4,51,0,0,0,1
2020-04-27,1,52,0,0,0,1
2020-04-29,2,54,1,1,0,1
2020-05-01,1,55,3,4,0,1
2020-05-02,2,57,1,5,0,1
2020-05-03,33,90,0,5,0,1
2020-05-04,49,139,2,7,0,1
2020-05-05,25,164,0,7,0,1
2020-05-06,5,169,0,7,0,1
2020-05-07,45,214,3,10,0,1
2020-05-08,21,235,0,10,0,1
2020-05-09,67,302,3,13,0,1
2020-05-10,6,308,7,20,0,1
2020-05-11,0,308,6,26,0,1
2020-05-12,1,309,5,31,0,1
2020-05-13,7,316,0,31,0,1
2020-05-14,-10,306,0,31,0,1
2020-05-15,0,306,75,106,0,1
2020-05-16,2,308,25,131,0,1
2020-05-17,0,308,123,254,0,1
2020-05-18,4,312,0,254,0,1
2020-05-19,0,312,2,256,0,1
2020-05-20,7,319,0,256,0,1
2020-05-21,4,323,16,272,0,1
2020-05-22,0,323,2,274,0,1
2020-05-23,4,327,4,278,0,1
2020-05-24,0,327,0,278,0,1
2020-05-26,0,327,3,281,0,1
2020-05-27,12,339,2,283,0,1
2020-05-28,3,342,0,283,0,1
2020-05-29,1,343,2,285,0,1
2020-05-30,23,366,8,293,0,1
2020-05-31,1,367,3,296,0,1
2020-06-01,8,375,0,296,0,1
2020-06-02,1,376,5,301,0,1
2020-06-03,1,377,0,301,0,1
2020-06-04,-21,356,0,301,0,1
2020-06-05,7,363,0,301,0,1
2020-06-06,6,369,0,301,0,1
2020-06-07,11,380,2,303,0,1
2020-06-08,4,384,2,305,1,2
2020-06-09,1,385,0,305,0,2
2020-06-10,7,392,2,307,0,2
2020-06-11,7,399,4,311,0,2
2020-06-12,9,408,11,322,0,2
2020-06-13,13,421,1,323,1,3
2020-06-14,16,437,18,341,1,4
2020-06-15,3,440,1,342,0,4
2020-06-16,18,458,7,349,0,4
2020-06-17,20,478,0,349,1,5
2020-06-18,27,505,5,354,1,6
2020-06-19,23,528,8,362,0,6
2020-06-20,23,551,3,365,1,7
2020-06-21,30,581,3,368,2,9
2020-06-22,25,606,1,369,2,11
2020-06-23,11,617,5,374,0,11
2020-06-24,37,654,28,402,0,11
2020-06-25,41,695,9,411,0,11
2020-06-26,17,712,1,412,0,11
2020-06-27,53,765,18,430,1,12
2020-06-28,49,814,14,444,1,13
2020-06-29,53,867,24,468,0,13
2020-06-30,48,915,9,477,1,14
2020-07-01,29,944,77,554,0,14
2020-07-02,42,986,6,560,1,15
2020-07-03,34,1020,19,579,1,16
2020-07-04,57,1077,3,582,0,16
2020-07-05,109,1186,0,582,0,16
2020-07-06,46,1232,3,585,1,17
2020-07-07,1,1233,121,706,0,17
2020-07-08,106,1339,32,738,0,17
2020-07-09,31,1370,21,759,0,17
2020-07-10,41,1411,102,861,1,18
