dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-28,1,1,0,0,0,0
2020-04-02,9,10,0,0,0,0
2020-04-03,1,11,0,0,0,0
2020-04-13,6,17,0,0,0,0
2020-04-19,2,19,0,0,0,0
2020-04-23,3,22,0,0,0,0
2020-04-24,1,23,0,0,0,0
2020-04-25,2,25,0,0,0,0
2020-04-26,7,32,0,0,0,0
2020-04-30,0,32,3,3,0,0
2020-05-04,2,34,4,7,0,0
2020-05-05,1,35,0,7,0,0
2020-05-06,0,35,3,10,0,0
2020-05-07,0,35,2,12,0,0
2020-05-08,3,38,0,12,0,0
2020-05-09,0,38,7,19,0,0
2020-05-10,2,40,0,19,0,0
2020-05-11,1,41,0,19,0,0
2020-05-12,4,45,-4,15,0,0
2020-05-14,-1,44,1,16,0,0
2020-05-15,2,46,0,16,0,0
2020-05-16,1,47,2,18,0,0
2020-05-17,4,51,1,19,0,0
2020-05-18,3,54,2,21,0,0
2020-05-19,1,55,0,21,0,0
2020-05-20,6,61,0,21,0,0
2020-05-21,8,69,3,24,0,0
2020-05-22,26,95,3,27,0,0
2020-05-23,2,97,1,28,0,0
2020-05-24,13,110,0,28,0,0
2020-05-25,17,127,0,28,0,0
2020-05-26,1,128,2,30,0,0
2020-05-27,-12,116,1,31,0,0
2020-05-28,3,119,3,34,0,0
2020-05-29,1,120,0,34,0,0
2020-05-30,1,121,8,42,0,0
2020-05-31,2,123,0,42,0,0
2020-06-01,1,124,0,42,0,0
2020-06-02,3,127,4,46,0,0
2020-06-03,1,128,28,74,0,0
2020-06-04,8,136,8,82,0,0
2020-06-05,7,143,0,82,0,0
2020-06-06,1,144,17,99,0,0
2020-06-07,5,149,1,100,0,0
2020-06-08,4,153,1,101,0,0
2020-06-09,1,154,7,108,0,0
2020-06-10,5,159,0,108,0,0
2020-06-11,-5,154,3,111,0,0
2020-06-12,7,161,0,111,0,0
2020-06-13,2,163,0,111,0,0
2020-06-14,7,170,9,120,1,1
2020-06-15,9,179,2,122,0,1
2020-06-16,9,188,4,126,0,1
2020-06-17,-20,168,-8,118,0,1
2020-06-18,13,181,0,118,0,1
2020-06-19,-2,179,-2,116,0,1
2020-06-20,11,190,4,120,0,1
2020-06-21,13,203,2,122,0,1
2020-06-22,5,208,1,123,0,1
2020-06-23,26,234,1,124,0,1
2020-06-24,41,275,8,132,0,1
2020-06-25,8,283,5,137,2,3
2020-06-26,31,314,5,142,1,4
2020-06-27,-1,313,12,154,1,5
2020-06-28,50,363,5,159,0,5
2020-06-29,81,444,27,186,1,6
2020-06-30,49,493,7,193,0,6
2020-07-01,45,538,22,215,1,7
2020-07-02,76,614,18,233,0,7
2020-07-03,65,679,47,280,0,7
2020-07-04,103,782,50,330,0,7
2020-07-05,113,895,39,369,1,8
2020-07-06,80,975,53,422,1,9
2020-07-07,253,1228,110,532,1,10
2020-07-08,70,1298,54,586,0,10
2020-07-09,297,1595,42,628,0,10
2020-07-10,143,1738,140,768,1,11
