dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-05,1,1,0,0,0,0
2020-04-07,1,2,0,0,0,0
2020-04-10,8,10,0,0,0,0
2020-04-11,1,11,0,0,0,0
2020-04-19,5,16,0,0,0,0
2020-04-21,2,18,0,0,0,0
2020-05-02,0,18,1,1,0,0
2020-05-06,0,18,2,3,0,0
2020-05-07,0,18,1,4,0,0
2020-05-08,0,18,1,5,0,0
2020-05-09,0,18,2,7,0,0
2020-06-04,7,25,0,7,0,0
2020-06-05,2,27,0,7,0,0
2020-06-14,1,28,0,7,0,0
2020-06-15,1,29,0,7,0,0
2020-06-20,1,30,0,7,0,0
2020-06-21,1,31,0,7,0,0
2020-06-24,1,32,0,7,0,0
2020-06-25,1,33,0,7,0,0
2020-06-26,7,40,0,7,0,0
2020-06-28,2,42,0,7,0,0
2020-07-01,2,44,0,7,0,0
2020-07-05,1,45,0,7,0,0
2020-07-07,1,46,0,7,0,0
2020-07-08,3,49,0,7,0,0
2020-07-09,1,50,0,7,0,0
2020-07-10,14,64,0,7,0,0
