dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-10,2,2,0,0,0,0
2020-04-23,1,3,0,0,0,0
2020-05-31,1,4,0,0,0,0
2020-06-01,1,5,0,0,0,0
2020-06-06,1,6,0,0,0,0
2020-06-16,1,7,0,0,0,0
2020-06-17,5,12,0,0,0,0
2020-06-18,3,15,0,0,0,0
2020-06-19,7,22,0,0,0,0
2020-06-20,10,32,0,0,0,0
2020-06-21,34,66,0,0,0,0
2020-06-22,2,68,0,0,0,0
2020-06-23,7,75,0,0,0,0
2020-06-25,1,76,0,0,0,0
2020-06-27,4,80,0,0,0,0
2020-06-28,1,81,0,0,0,0
2020-07-04,3,84,0,0,0,0
2020-07-05,2,86,0,0,0,0
2020-07-07,1,87,0,0,0,0
2020-07-09,2,89,0,0,0,0
2020-07-10,3,92,0,0,0,0
