dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,8,8,0,0,0,0
2020-04-07,9,17,0,0,0,0
2020-04-10,2,19,0,0,0,0
2020-04-18,7,26,0,0,0,0
2020-04-21,2,28,0,0,0,0
2020-04-22,2,30,0,0,0,0
2020-04-23,10,40,0,0,0,0
2020-05-06,0,40,2,2,0,0
2020-05-07,0,40,8,10,0,0
2020-05-08,0,40,3,13,0,0
2020-05-09,0,40,3,16,0,0
2020-06-06,1,41,0,16,0,0
2020-06-24,1,42,0,16,0,0
2020-06-28,2,44,0,16,0,0
2020-06-29,1,45,0,16,0,0
2020-07-01,1,46,0,16,0,0
2020-07-02,1,47,0,16,0,0
2020-07-03,1,48,0,16,0,0
2020-07-04,2,50,0,16,0,0
2020-07-05,1,51,0,16,0,0
2020-07-06,1,52,0,16,0,0
2020-07-07,4,56,0,16,0,0
2020-07-09,2,58,0,16,0,0
2020-07-10,1,59,0,16,0,0
