dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-09,10,10,0,0,0,0
2020-04-11,1,11,0,0,0,0
2020-06-03,1,12,0,0,0,0
2020-06-11,1,13,0,0,0,0
2020-06-12,1,14,0,0,0,0
2020-06-13,1,15,0,0,0,0
2020-06-14,2,17,0,0,0,0
2020-06-16,1,18,0,0,0,0
2020-06-22,3,21,0,0,0,0
2020-06-23,10,31,0,0,0,0
2020-06-24,1,32,0,0,0,0
2020-06-25,1,33,0,0,0,0
2020-06-27,5,38,0,0,0,0
2020-06-29,2,40,0,0,0,0
2020-07-01,2,42,0,0,0,0
2020-07-02,2,44,0,0,0,0
2020-07-03,6,50,0,0,0,0
2020-07-05,1,51,0,0,0,0
2020-07-07,7,58,0,0,0,0
2020-07-08,3,61,0,0,0,0
2020-07-09,2,63,0,0,0,0
2020-07-10,23,86,0,0,0,0
