dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,2,2,0,0,0,0
2020-04-11,1,3,0,0,0,0
2020-04-12,1,4,0,0,0,0
2020-04-13,1,5,0,0,0,0
2020-04-14,2,7,0,0,0,0
2020-04-21,1,8,0,0,0,0
2020-05-02,0,8,1,1,0,0
2020-05-06,0,8,1,2,0,0
2020-05-31,9,17,0,2,0,0
2020-06-04,1,18,0,2,0,0
2020-06-05,2,20,0,2,0,0
2020-06-13,1,21,0,2,0,0
2020-06-18,1,22,0,2,0,0
2020-06-19,2,24,0,2,0,0
2020-06-20,2,26,0,2,0,0
2020-06-24,4,30,0,2,0,0
2020-06-26,3,33,0,2,0,0
2020-06-27,1,34,0,2,0,0
2020-06-28,3,37,0,2,0,0
2020-06-30,1,38,0,2,0,0
2020-07-01,7,45,0,2,0,0
2020-07-02,18,63,0,2,0,0
2020-07-03,2,65,0,2,0,0
2020-07-04,7,72,0,2,0,0
2020-07-06,21,93,0,2,0,0
2020-07-07,3,96,0,2,0,0
2020-07-08,4,100,0,2,0,0
2020-07-09,12,112,0,2,0,0
2020-07-10,18,130,0,2,0,0
