dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,1,1,0,0,0,0
2020-06-01,1,2,0,0,0,0
2020-06-06,1,3,0,0,0,0
2020-06-07,1,4,0,0,0,0
2020-06-09,2,6,0,0,0,0
2020-06-22,2,8,0,0,0,0
2020-06-23,2,10,0,0,0,0
2020-06-24,1,11,0,0,0,0
2020-06-25,1,12,0,0,0,0
2020-06-27,1,13,0,0,0,0
2020-06-29,1,14,0,0,0,0
2020-07-02,5,19,0,0,0,0
2020-07-03,7,26,0,0,0,0
2020-07-05,19,45,0,0,0,0
2020-07-06,1,46,0,0,0,0
2020-07-07,2,48,0,0,0,0
2020-07-09,5,53,0,0,0,0
2020-07-10,6,59,0,0,0,0
