dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,4,4,0,0,0,0
2020-04-06,3,7,0,0,0,0
2020-04-07,3,10,0,0,0,0
2020-04-11,1,11,0,0,0,0
2020-05-30,2,13,0,0,0,0
2020-05-31,3,16,0,0,0,0
2020-06-02,1,17,0,0,0,0
2020-06-03,1,18,0,0,0,0
2020-06-05,5,23,0,0,0,0
2020-06-06,4,27,0,0,0,0
2020-06-10,4,31,0,0,0,0
2020-06-11,3,34,0,0,0,0
2020-06-12,2,36,0,0,0,0
2020-06-13,4,40,0,0,0,0
2020-06-14,2,42,0,0,0,0
2020-06-15,1,43,0,0,0,0
2020-06-17,1,44,0,0,0,0
2020-06-18,2,46,0,0,0,0
2020-06-19,6,52,0,0,0,0
2020-06-20,3,55,0,0,0,0
2020-06-25,3,58,0,0,0,0
2020-06-26,1,59,0,0,0,0
2020-06-27,5,64,0,0,0,0
2020-06-28,1,65,0,0,0,0
2020-06-29,3,68,0,0,0,0
2020-06-30,2,70,0,0,0,0
2020-07-01,10,80,0,0,0,0
2020-07-02,7,87,0,0,0,0
2020-07-03,12,99,0,0,0,0
2020-07-04,5,104,0,0,0,0
2020-07-06,9,113,0,0,0,0
2020-07-07,11,124,0,0,0,0
2020-07-08,15,139,0,0,0,0
2020-07-09,8,147,0,0,0,0
2020-07-10,14,161,0,0,0,0
