dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-26,1,1,0,0,0,0
2020-04-06,3,4,0,0,0,0
2020-04-08,2,6,0,0,0,0
2020-04-20,1,7,0,0,0,0
2020-04-21,1,8,0,0,0,0
2020-04-23,1,9,0,0,0,0
2020-05-06,0,9,1,1,0,0
2020-05-07,0,9,1,2,0,0
2020-05-08,0,9,1,3,0,0
2020-05-09,0,9,1,4,0,0
2020-05-11,0,9,1,5,0,0
2020-05-12,0,9,1,6,0,0
2020-05-18,3,12,0,6,0,0
2020-05-26,6,18,0,6,0,0
2020-05-30,1,19,0,6,0,0
2020-05-31,10,29,0,6,0,0
2020-06-01,3,32,0,6,0,0
2020-06-02,3,35,0,6,0,0
2020-06-03,2,37,0,6,0,0
2020-06-04,2,39,0,6,0,0
2020-06-05,2,41,0,6,0,0
2020-06-06,18,59,0,6,0,0
2020-06-07,3,62,0,6,0,0
2020-06-09,10,72,0,6,0,0
2020-06-10,11,83,0,6,0,0
2020-06-11,10,93,0,6,0,0
2020-06-12,6,99,0,6,0,0
2020-06-13,14,113,0,6,0,0
2020-06-14,10,123,0,6,0,0
2020-06-15,2,125,0,6,0,0
2020-06-16,3,128,0,6,0,0
2020-06-17,2,130,0,6,0,0
2020-06-18,10,140,0,6,0,0
2020-06-19,4,144,0,6,0,0
2020-06-20,6,150,0,6,0,0
2020-06-21,9,159,0,6,0,0
2020-06-22,16,175,0,6,0,0
2020-06-23,112,287,0,6,0,0
2020-06-24,55,342,0,6,0,0
2020-06-25,60,402,0,6,0,0
2020-06-26,53,455,0,6,0,0
2020-06-27,37,492,0,6,0,0
2020-06-28,29,521,0,6,0,0
2020-06-29,20,541,0,6,0,0
2020-06-30,13,554,0,6,0,0
2020-07-01,36,590,0,6,0,0
2020-07-02,54,644,0,6,0,0
2020-07-03,44,688,0,6,0,0
2020-07-04,53,741,0,6,0,0
2020-07-05,125,866,0,6,0,0
2020-07-06,117,983,0,6,0,0
2020-07-07,94,1077,0,6,0,0
2020-07-08,43,1120,0,6,0,0
2020-07-09,67,1187,0,6,0,0
2020-07-10,85,1272,0,6,0,0
