dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-08,12,12,0,0,0,0
2020-04-18,1,13,0,0,0,0
2020-04-19,2,15,0,0,0,0
2020-05-07,0,15,1,1,0,0
2020-05-26,1,16,0,1,0,0
2020-06-01,2,18,0,1,0,0
2020-06-02,2,20,0,1,0,0
2020-06-06,1,21,0,1,0,0
2020-06-10,1,22,0,1,0,0
2020-06-13,2,24,0,1,0,0
2020-06-18,1,25,0,1,0,0
2020-06-19,4,29,0,1,0,0
2020-06-21,1,30,0,1,0,0
2020-06-24,2,32,0,1,0,0
2020-06-25,3,35,0,1,0,0
2020-06-26,1,36,0,1,0,0
2020-06-27,35,71,0,1,0,0
2020-06-28,3,74,0,1,0,0
2020-06-29,2,76,0,1,0,0
2020-07-01,4,80,0,1,0,0
2020-07-02,8,88,0,1,0,0
2020-07-03,13,101,0,1,0,0
2020-07-04,10,111,0,1,0,0
2020-07-05,14,125,0,1,0,0
2020-07-06,9,134,0,1,0,0
2020-07-07,31,165,0,1,0,0
2020-07-08,13,178,0,1,0,0
2020-07-09,21,199,0,1,0,0
2020-07-10,32,231,0,1,0,0
