dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,1,1,0,0,0,0
2020-04-18,2,3,0,0,0,0
2020-05-08,0,3,1,1,0,0
2020-05-09,0,3,1,2,0,0
2020-06-03,2,5,0,2,0,0
2020-06-09,1,6,0,2,0,0
2020-06-11,1,7,0,2,0,0
2020-06-13,2,9,0,2,0,0
2020-06-14,1,10,0,2,0,0
2020-06-24,1,11,0,2,0,0
2020-06-25,4,15,0,2,0,0
2020-06-26,6,21,0,2,0,0
2020-06-27,3,24,0,2,0,0
2020-07-02,6,30,0,2,0,0
2020-07-03,6,36,0,2,0,0
2020-07-04,3,39,0,2,0,0
2020-07-05,1,40,0,2,0,0
2020-07-07,2,42,0,2,0,0
2020-07-08,13,55,0,2,0,0
2020-07-09,8,63,0,2,0,0
2020-07-10,7,70,0,2,0,0
