dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,6,6,0,0,0,0
2020-04-05,1,7,0,0,0,0
2020-05-07,0,7,1,1,0,0
2020-05-16,2,9,0,1,0,0
2020-05-29,2,11,0,1,0,0
2020-05-30,3,14,0,1,0,0
2020-06-01,2,16,0,1,0,0
2020-06-02,1,17,0,1,0,0
2020-06-04,1,18,0,1,0,0
2020-06-05,2,20,0,1,0,0
2020-06-07,1,21,0,1,0,0
2020-06-09,2,23,0,1,0,0
2020-06-10,11,34,0,1,0,0
2020-06-12,4,38,0,1,0,0
2020-06-13,24,62,0,1,0,0
2020-06-14,5,67,0,1,0,0
2020-06-15,2,69,0,1,0,0
2020-06-16,2,71,0,1,0,0
2020-06-17,3,74,0,1,0,0
2020-06-18,2,76,0,1,0,0
2020-06-19,1,77,0,1,0,0
2020-06-21,1,78,0,1,0,0
2020-06-22,12,90,0,1,0,0
2020-06-23,2,92,0,1,0,0
2020-06-24,2,94,0,1,0,0
2020-06-27,11,105,0,1,0,0
2020-06-28,1,106,0,1,0,0
2020-06-29,14,120,0,1,0,0
2020-06-30,21,141,0,1,0,0
2020-07-01,2,143,0,1,0,0
2020-07-02,7,150,0,1,0,0
2020-07-03,20,170,0,1,0,0
2020-07-04,8,178,0,1,0,0
2020-07-05,19,197,0,1,0,0
2020-07-06,3,200,0,1,0,0
2020-07-07,9,209,0,1,0,0
2020-07-08,20,229,0,1,0,0
2020-07-09,79,308,0,1,0,0
2020-07-10,36,344,0,1,0,0
