dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,1,1,0,0,0,0
2020-06-02,1,2,0,0,0,0
2020-06-07,1,3,0,0,0,0
2020-06-10,1,4,0,0,0,0
2020-06-11,2,6,0,0,0,0
2020-06-12,1,7,0,0,0,0
2020-06-13,1,8,0,0,0,0
2020-06-14,1,9,0,0,0,0
2020-06-16,1,10,0,0,0,0
2020-06-24,1,11,0,0,0,0
2020-06-25,1,12,0,0,0,0
2020-06-26,3,15,0,0,0,0
2020-06-27,2,17,0,0,0,0
2020-06-28,3,20,0,0,0,0
2020-06-29,1,21,0,0,0,0
2020-06-30,1,22,0,0,0,0
2020-07-01,3,25,0,0,0,0
2020-07-02,1,26,0,0,0,0
2020-07-03,3,29,0,0,0,0
2020-07-04,5,34,0,0,0,0
2020-07-05,1,35,0,0,0,0
2020-07-07,1,36,0,0,0,0
2020-07-09,1,37,0,0,0,0
2020-07-10,4,41,0,0,0,0
