dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,6,6,0,0,0,0
2020-04-05,2,8,0,0,0,0
2020-04-12,4,12,0,0,0,0
2020-04-13,7,19,0,0,0,0
2020-04-14,10,29,0,0,0,0
2020-04-16,4,33,0,0,0,0
2020-04-19,4,37,0,0,0,0
2020-05-02,0,37,4,4,0,0
2020-05-06,0,37,1,5,0,0
2020-05-07,0,37,1,6,0,0
2020-05-08,0,37,1,7,0,0
2020-05-09,0,37,1,8,0,0
2020-05-15,0,37,1,9,0,0
2020-05-26,1,38,0,9,0,0
2020-05-30,1,39,0,9,0,0
2020-06-06,1,40,0,9,0,0
2020-06-10,1,41,0,9,0,0
2020-06-17,1,42,0,9,0,0
2020-06-21,2,44,0,9,0,0
2020-06-25,1,45,0,9,0,0
2020-06-26,1,46,0,9,0,0
2020-06-30,1,47,0,9,0,0
2020-07-02,1,48,0,9,0,0
2020-07-03,1,49,0,9,0,0
2020-07-04,3,52,0,9,0,0
2020-07-05,2,54,0,9,0,0
2020-07-06,7,61,0,9,0,0
2020-07-07,1,62,0,9,0,0
2020-07-08,11,73,0,9,0,0
2020-07-09,5,78,0,9,0,0
