dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-02,2,2,0,0,0,0
2020-05-03,12,14,0,0,0,0
2020-05-04,13,27,0,0,0,0
2020-05-05,13,40,0,0,0,0
2020-05-06,22,62,0,0,0,0
2020-05-07,24,86,0,0,0,0
2020-05-08,30,116,0,0,0,0
2020-05-09,16,132,0,0,0,0
2020-05-10,16,148,0,0,0,0
2020-05-12,2,150,0,0,0,0
2020-05-13,1,151,0,0,0,0
2020-05-14,1,152,27,27,0,0
2020-05-15,0,152,13,40,0,0
2020-05-16,8,160,22,62,0,0
2020-05-17,-2,158,21,83,0,0
2020-05-18,0,158,4,87,0,0
2020-05-19,4,162,27,114,0,0
2020-05-21,0,162,32,146,0,0
2020-05-22,0,162,4,150,0,0
2020-05-23,2,164,0,150,0,0
2020-05-24,0,164,10,160,0,0
2020-05-26,1,165,0,160,0,0
2020-05-28,0,165,2,162,0,0
2020-05-30,6,171,1,163,0,0
2020-05-31,4,175,0,163,0,0
2020-06-02,19,194,0,163,0,0
2020-06-04,1,195,0,163,0,0
2020-06-05,1,196,0,163,0,0
2020-06-06,3,199,0,163,0,0
2020-06-07,0,199,1,164,0,0
2020-06-10,1,200,6,170,0,0
2020-06-11,1,201,1,171,0,0
2020-06-13,0,201,5,176,0,0
2020-06-16,0,201,8,184,0,0
2020-06-18,1,202,12,196,0,0
2020-06-19,0,202,1,197,0,0
2020-06-20,1,203,1,198,0,0
2020-06-21,1,204,2,200,0,0
2020-06-22,1,205,0,200,0,0
2020-06-23,4,209,1,201,0,0
2020-06-25,1,210,0,201,0,0
2020-06-26,1,211,1,202,0,0
2020-06-27,2,213,-1,201,0,0
2020-07-02,5,218,0,201,0,0
2020-07-03,24,242,0,201,0,0
2020-07-04,2,244,2,203,0,0
2020-07-05,1,245,0,203,0,0
2020-07-06,3,248,1,204,0,0
2020-07-07,1,249,5,209,0,0
2020-07-08,0,249,4,213,0,0
2020-07-10,15,264,0,213,0,0
