dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-16,1,1,0,0,0,0
2020-05-23,1,2,0,0,0,0
2020-05-24,0,2,1,1,0,0
2020-05-26,10,12,0,1,0,0
2020-05-27,1,13,0,1,0,0
2020-05-30,1,14,0,1,0,0
2020-06-01,2,16,0,1,0,0
2020-06-03,7,23,0,1,0,0
2020-06-04,1,24,0,1,0,0
2020-06-05,1,25,0,1,0,0
2020-06-06,1,26,0,1,0,0
2020-06-07,0,26,3,4,0,0
2020-06-09,2,28,0,4,0,0
2020-06-10,0,28,9,13,0,0
2020-06-11,0,28,1,14,0,0
2020-06-13,2,30,0,14,0,0
2020-06-15,0,30,2,16,0,0
2020-06-16,0,30,7,23,0,0
2020-06-18,5,35,1,24,0,0
2020-06-21,1,36,2,26,0,0
2020-06-22,5,41,0,26,0,0
2020-06-23,2,43,0,26,0,0
2020-06-24,0,43,2,28,0,0
2020-06-25,15,58,0,28,0,0
2020-06-26,0,58,2,30,0,0
2020-06-27,3,61,0,30,0,0
2020-06-28,3,64,0,30,0,0
2020-06-29,2,66,0,30,0,0
2020-06-30,1,67,0,30,0,0
2020-07-01,1,68,0,30,0,0
2020-07-02,2,70,2,32,0,0
2020-07-03,9,79,0,32,0,0
2020-07-04,1,80,4,36,0,0
2020-07-05,6,86,0,36,0,0
2020-07-06,40,126,1,37,0,0
2020-07-07,0,126,6,43,0,0
2020-07-08,9,135,20,63,0,0
2020-07-09,3,138,0,63,0,0
2020-07-10,63,201,0,63,0,0
