dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-10,1,1,0,0,0,0
2020-05-09,1,2,0,0,0,0
2020-05-16,2,4,0,0,0,0
2020-05-23,1,5,0,0,0,0
2020-05-24,0,5,2,2,0,0
2020-05-26,2,7,0,2,0,0
2020-05-27,1,8,0,2,0,0
2020-05-31,1,9,1,3,0,0
2020-06-03,1,10,0,3,0,0
2020-06-04,2,12,0,3,0,0
2020-06-06,2,14,0,3,0,0
2020-06-10,0,14,3,6,0,0
2020-06-16,0,14,2,8,0,0
2020-06-18,3,17,1,9,0,0
2020-06-21,2,19,2,11,0,0
2020-06-22,2,21,0,11,0,0
2020-06-23,1,22,1,12,0,0
2020-06-25,1,23,0,12,0,0
2020-06-27,2,25,0,12,0,0
2020-06-30,2,27,0,12,0,0
2020-07-01,1,28,2,14,0,0
2020-07-02,6,34,1,15,0,0
2020-07-03,13,47,0,15,0,0
2020-07-04,4,51,2,17,0,0
2020-07-05,4,55,0,17,0,0
2020-07-06,1,56,0,17,0,0
2020-07-07,7,63,2,19,0,0
2020-07-08,4,67,3,22,0,0
2020-07-09,1,68,0,22,0,0
2020-07-10,1,69,0,22,0,0
