dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-21,2,2,0,0,0,0
2020-05-23,3,5,0,0,0,0
2020-05-30,18,23,2,2,0,0
2020-05-31,27,50,0,2,0,0
2020-06-01,51,101,0,2,0,0
2020-06-02,1,102,0,2,0,0
2020-06-03,78,180,0,2,0,0
2020-06-04,1,181,0,2,0,0
2020-06-05,28,209,0,2,0,0
2020-06-06,34,243,0,2,0,0
2020-06-07,49,292,3,5,0,0
2020-06-08,38,330,0,5,0,0
2020-06-09,18,348,0,5,0,0
2020-06-10,7,355,4,9,0,0
2020-06-11,14,369,23,32,0,0
2020-06-12,27,396,0,32,0,0
2020-06-13,78,474,20,52,0,0
2020-06-14,33,507,0,52,0,0
2020-06-15,9,516,47,99,0,0
2020-06-16,2,518,37,136,0,0
2020-06-17,1,519,0,136,0,0
2020-06-18,4,523,40,176,0,0
2020-06-19,0,523,10,186,0,0
2020-06-20,3,526,18,204,0,0
2020-06-21,7,533,61,265,0,0
2020-06-22,3,536,7,272,0,0
2020-06-23,9,545,6,278,0,0
2020-06-24,0,545,81,359,0,0
2020-06-25,4,549,117,476,0,0
2020-06-26,2,551,20,496,0,0
2020-06-27,1,552,12,508,0,0
2020-06-28,9,561,6,514,0,0
2020-06-29,1,562,3,517,0,0
2020-07-01,0,562,4,521,0,0
2020-07-02,6,568,1,522,0,0
2020-07-03,11,579,0,522,0,0
2020-07-04,9,588,6,528,0,0
2020-07-05,2,590,3,531,0,0
2020-07-06,9,599,2,533,0,0
2020-07-07,0,599,12,545,0,0
2020-07-08,10,609,10,555,0,0
2020-07-09,2,611,0,555,0,0
2020-07-10,11,622,0,555,0,0
