dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-23,1,1,0,0,0,0
2020-05-30,1,2,1,1,0,0
2020-05-31,2,4,0,1,0,0
2020-06-01,41,45,0,1,0,0
2020-06-02,2,47,0,1,0,0
2020-06-03,2,49,0,1,0,0
2020-06-05,1,50,0,1,0,0
2020-06-10,2,52,0,1,0,0
2020-06-11,0,52,1,2,0,0
2020-06-12,1,53,0,2,0,0
2020-06-13,6,59,2,4,0,0
2020-06-15,0,59,40,44,0,0
2020-06-16,0,59,1,45,0,0
2020-06-18,4,63,2,47,0,0
2020-06-19,2,65,1,48,0,0
2020-06-20,0,65,1,49,0,0
2020-06-21,2,67,0,49,0,0
2020-06-22,1,68,0,49,0,0
2020-06-26,0,68,10,59,0,0
2020-06-28,1,69,0,59,0,0
2020-06-29,2,71,0,59,0,0
2020-07-02,0,71,6,65,0,0
2020-07-03,2,73,0,65,0,0
2020-07-04,0,73,1,66,0,0
2020-07-06,1,74,0,66,0,0
2020-07-07,5,79,3,69,0,0
2020-07-08,1,80,0,69,0,0
