dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-04,3,3,4,4,0,0
2020-03-09,1,4,1,5,0,0
2020-03-13,1,5,0,5,0,0
2020-03-29,0,5,8,13,0,0
2020-03-30,1,6,0,13,0,0
2020-04-01,1,7,0,13,0,0
2020-04-02,5,12,0,13,0,0
2020-04-03,3,15,0,13,0,0
2020-04-04,24,39,0,13,0,0
2020-04-05,3,42,0,13,0,0
2020-04-06,2,44,0,13,0,0
2020-04-07,13,57,0,13,0,0
2020-04-08,2,59,0,13,1,1
2020-04-09,19,78,0,13,0,1
2020-04-10,5,83,0,13,0,1
2020-04-11,4,87,0,13,0,1
2020-04-12,12,99,0,13,0,1
2020-04-13,35,134,0,13,0,1
2020-04-14,4,138,0,13,2,3
2020-04-15,15,153,0,13,1,4
2020-04-16,9,162,0,13,1,5
2020-04-17,5,167,0,13,0,5
2020-04-18,27,194,0,13,0,5
2020-04-19,44,238,0,13,0,5
2020-04-20,1,239,0,13,0,5
2020-04-21,65,304,0,13,0,5
2020-04-22,18,322,0,13,0,5
2020-04-23,12,334,0,13,0,5
2020-04-24,10,344,0,13,0,5
2020-04-25,25,369,0,13,0,5
2020-04-26,1,370,0,13,2,7
2020-04-27,12,382,3,16,0,7
2020-04-28,17,399,19,35,2,9
2020-04-29,29,428,20,55,2,11
2020-04-30,38,466,0,55,0,11
2020-05-01,29,495,0,55,0,11
2020-05-02,39,534,13,68,0,11
2020-05-03,60,594,0,68,0,11
2020-05-04,32,626,9,77,0,11
2020-05-05,12,638,95,172,2,13
2020-05-06,15,653,0,172,0,13
2020-05-07,15,668,12,184,0,13
2020-05-08,36,704,41,225,0,13
2020-05-09,37,741,6,231,5,18
2020-05-10,13,754,59,290,3,21
2020-05-11,14,768,0,290,0,21
2020-05-12,24,792,0,290,0,21
2020-05-13,-3,789,38,328,0,21
2020-05-14,-6,783,30,358,0,21
2020-05-15,9,792,0,358,0,21
2020-05-16,12,804,107,465,3,24
2020-05-17,4,808,46,511,0,24
2020-05-18,5,813,0,511,0,24
2020-05-19,12,825,66,577,0,24
2020-05-20,9,834,12,589,0,24
2020-05-21,9,843,50,639,1,25
2020-05-22,-6,837,17,656,5,30
2020-05-23,6,843,1,657,0,30
2020-05-24,5,848,32,689,0,30
2020-05-25,9,857,0,689,0,30
2020-05-26,7,864,6,695,0,30
2020-05-27,7,871,8,703,0,30
2020-05-28,1,872,0,703,7,37
2020-05-29,2,874,2,705,0,37
2020-05-30,-1,873,14,719,0,37
2020-05-31,7,880,1,720,1,38
2020-06-01,8,888,13,733,0,38
2020-06-02,6,894,1,734,4,42
2020-06-03,8,902,0,734,0,42
2020-06-04,10,912,4,738,2,44
2020-06-05,14,926,3,741,1,45
2020-06-06,11,937,9,750,0,45
2020-06-07,17,954,9,759,2,47
2020-06-08,16,970,5,764,2,49
2020-06-09,14,984,4,768,2,51
2020-06-10,8,992,1,769,1,52
2020-06-11,5,997,3,772,3,55
2020-06-12,10,1007,15,787,2,57
2020-06-13,14,1021,9,796,2,59
2020-06-14,15,1036,17,813,2,61
2020-06-15,16,1052,10,823,2,63
2020-06-16,21,1073,8,831,3,66
2020-06-17,18,1091,11,842,3,69
2020-06-18,21,1112,9,851,4,73
2020-06-19,13,1125,14,865,3,76
2020-06-20,9,1134,7,872,0,76
2020-06-21,1,1135,15,887,0,76
2020-06-22,7,1142,11,898,4,80
2020-06-23,6,1148,10,908,1,81
2020-06-24,9,1157,13,921,1,82
2020-06-25,5,1162,10,931,0,82
2020-06-26,14,1176,9,940,1,83
2020-06-27,7,1183,11,951,1,84
2020-06-28,11,1194,15,966,0,84
2020-06-29,18,1212,2,968,0,84
2020-06-30,8,1220,10,978,0,84
2020-07-01,3,1223,7,985,2,86
2020-07-02,16,1239,13,998,1,87
2020-07-03,23,1262,5,1003,2,89
2020-07-04,3,1265,5,1008,1,90
2020-07-05,17,1282,13,1021,0,90
2020-07-06,21,1303,12,1033,0,90
2020-07-07,6,1309,21,1054,0,90
2020-07-08,23,1332,7,1061,0,90
2020-07-09,12,1344,5,1066,0,90
2020-07-10,21,1365,9,1075,0,90
