dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-05,1,1,0,0,0,0
2020-05-07,2,3,0,0,0,0
2020-05-08,2,5,0,0,0,0
2020-05-10,1,6,0,0,0,0
2020-05-12,5,11,0,0,0,0
2020-05-14,2,13,0,0,0,0
2020-05-15,3,16,0,0,0,0
2020-05-17,2,18,0,0,0,0
2020-05-18,8,26,0,0,0,0
2020-05-20,0,26,4,4,0,0
2020-05-21,5,31,0,4,0,0
2020-05-22,0,31,1,5,0,0
2020-05-23,9,40,0,5,0,0
2020-05-24,1,41,0,5,0,0
2020-05-25,5,46,0,5,0,0
2020-05-26,34,80,4,9,0,0
2020-05-27,8,88,3,12,0,0
2020-05-28,1,89,6,18,0,0
2020-05-29,0,89,10,28,0,0
2020-05-30,43,132,0,28,0,0
2020-05-31,14,146,1,29,0,0
2020-06-01,2,148,0,29,0,0
2020-06-02,23,171,0,29,0,0
2020-06-04,9,180,0,29,0,0
2020-06-05,3,183,3,32,0,0
2020-06-06,13,196,38,70,0,0
2020-06-07,4,200,1,71,0,0
2020-06-08,2,202,7,78,0,0
2020-06-09,12,214,0,78,0,0
2020-06-10,0,214,38,116,1,1
2020-06-11,1,215,18,134,0,1
2020-06-13,1,216,26,160,0,1
2020-06-14,1,217,25,185,0,1
2020-06-15,9,226,4,189,0,1
2020-06-16,10,236,4,193,0,1
2020-06-17,1,237,8,201,0,1
2020-06-18,10,247,1,202,0,1
2020-06-19,7,254,3,205,0,1
2020-06-20,9,263,7,212,0,1
2020-06-21,4,267,1,213,0,1
2020-06-22,2,269,22,235,0,1
2020-06-23,6,275,0,235,0,1
2020-06-24,1,276,9,244,0,1
2020-06-25,1,277,6,250,0,1
2020-06-26,0,277,11,261,0,1
2020-06-27,2,279,5,266,0,1
2020-06-29,-1,278,5,271,0,1
2020-06-30,4,282,0,271,0,1
2020-07-01,1,283,0,271,0,1
2020-07-02,0,283,2,273,0,1
2020-07-03,7,290,0,273,0,1
2020-07-04,1,291,2,275,0,1
2020-07-05,6,297,2,277,0,1
2020-07-06,2,299,0,277,0,1
2020-07-07,3,302,3,280,0,1
2020-07-08,7,309,0,280,0,1
2020-07-09,4,313,4,284,0,1
2020-07-10,0,313,3,287,0,1
