dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-05,1,1,0,0,0,0
2020-04-08,1,2,0,0,0,0
2020-04-10,1,3,0,0,0,0
2020-04-14,2,5,0,0,0,0
2020-04-17,1,6,0,0,0,0
2020-04-20,1,7,0,0,0,0
2020-04-21,2,9,0,0,0,0
2020-04-23,1,10,0,0,0,0
2020-04-28,0,10,4,4,0,0
2020-05-03,2,12,0,4,0,0
2020-05-05,1,13,2,6,0,0
2020-05-06,0,13,3,9,0,0
2020-05-07,0,13,3,12,0,0
2020-05-11,3,16,0,12,0,0
2020-05-13,2,18,0,12,0,0
2020-05-17,2,20,0,12,0,0
2020-05-22,2,22,2,14,0,0
2020-05-26,0,22,1,15,0,0
2020-05-27,5,27,0,15,0,0
2020-05-28,2,29,3,18,0,0
2020-05-30,0,29,1,19,0,0
2020-06-02,4,33,2,21,0,0
2020-06-03,2,35,1,22,0,0
2020-06-04,3,38,0,22,0,0
2020-06-05,1,39,0,22,1,1
2020-06-06,0,39,2,24,0,1
2020-06-07,6,45,0,24,0,1
2020-06-08,4,49,2,26,1,2
2020-06-09,2,51,0,26,0,2
2020-06-10,1,52,0,26,0,2
2020-06-12,1,53,0,26,0,2
2020-06-13,2,55,2,28,0,2
2020-06-14,2,57,0,28,0,2
2020-06-15,0,57,4,32,0,2
2020-06-16,5,62,0,32,0,2
2020-06-17,10,72,4,36,0,2
2020-06-18,-1,71,0,36,0,2
2020-06-19,6,77,5,41,0,2
2020-06-20,8,85,1,42,0,2
2020-06-21,5,90,0,42,0,2
2020-06-22,-1,89,9,51,0,2
2020-06-23,4,93,2,53,0,2
2020-06-24,3,96,2,55,0,2
2020-06-26,6,102,4,59,0,2
2020-06-27,0,102,3,62,0,2
2020-06-28,0,102,3,65,0,2
2020-06-29,2,104,3,68,0,2
2020-06-30,0,104,6,74,0,2
2020-07-01,0,104,9,83,0,2
2020-07-02,1,105,3,86,0,2
2020-07-03,1,106,3,89,0,2
2020-07-04,0,106,2,91,0,2
2020-07-05,2,108,0,91,0,2
2020-07-06,2,110,1,92,0,2
2020-07-07,1,111,4,96,0,2
2020-07-08,3,114,2,98,0,2
2020-07-09,2,116,0,98,0,2
2020-07-10,2,118,2,100,0,2
