dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-23,8,8,0,0,0,0
2020-04-26,1,9,0,0,0,0
2020-05-02,5,14,0,0,0,0
2020-05-04,1,15,0,0,0,0
2020-05-08,2,17,8,8,0,0
2020-05-09,5,22,0,8,0,0
2020-05-10,2,24,0,8,0,0
2020-05-11,1,25,1,9,0,0
2020-05-12,1,26,0,9,0,0
2020-05-13,0,26,2,11,0,0
2020-05-14,9,35,0,11,0,0
2020-05-15,2,37,2,13,0,0
2020-05-17,8,45,0,13,0,0
2020-05-18,6,51,5,18,0,0
2020-05-19,11,62,0,18,0,0
2020-05-20,1,63,6,24,0,0
2020-05-21,3,66,0,24,0,0
2020-05-22,2,68,1,25,0,0
2020-05-23,0,68,1,26,0,0
2020-05-24,2,70,0,26,0,0
2020-05-25,3,73,9,35,0,0
2020-05-26,1,74,0,35,0,0
2020-05-27,2,76,0,35,0,0
2020-05-28,2,78,18,53,0,0
2020-05-29,3,81,0,53,0,0
2020-05-30,4,85,0,53,0,0
2020-06-01,2,87,9,62,0,0
2020-06-02,1,88,0,62,0,0
2020-06-03,2,90,0,62,0,0
2020-06-05,5,95,0,62,0,0
2020-06-06,5,100,9,71,0,0
2020-06-08,5,105,0,71,0,0
2020-06-09,1,106,1,72,0,0
2020-06-10,0,106,4,76,0,0
2020-06-11,2,108,4,80,0,0
2020-06-12,3,111,1,81,0,0
2020-06-13,0,111,6,87,0,0
2020-06-16,0,111,5,92,0,0
2020-06-17,5,116,4,96,1,1
2020-06-18,-2,114,0,96,0,1
2020-06-19,3,117,6,102,0,1
2020-06-21,0,117,2,104,0,1
2020-06-22,4,121,2,106,0,1
2020-06-24,0,121,1,107,0,1
2020-06-25,2,123,1,108,0,1
2020-06-28,0,123,4,112,0,1
2020-06-29,1,124,0,112,0,1
2020-06-30,0,124,3,115,0,1
2020-07-01,1,125,0,115,0,1
2020-07-02,2,127,4,119,0,1
2020-07-03,2,129,2,121,0,1
2020-07-05,5,134,0,121,0,1
2020-07-06,2,136,0,121,0,1
2020-07-07,7,143,2,123,0,1
2020-07-08,1,144,0,123,0,1
2020-07-09,4,148,0,123,0,1
2020-07-10,13,161,2,125,0,1
