dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-23,1,1,0,0,0,0
2020-05-07,1,2,1,1,0,0
2020-05-14,3,5,0,1,0,0
2020-05-15,6,11,0,1,0,0
2020-05-17,1,12,0,1,0,0
2020-05-18,15,27,0,1,0,0
2020-05-19,5,32,0,1,0,0
2020-05-22,2,34,1,2,0,0
2020-05-24,2,36,0,2,0,0
2020-05-25,0,36,3,5,0,0
2020-05-26,0,36,6,11,0,0
2020-05-27,0,36,1,12,0,0
2020-05-28,1,37,1,13,0,0
2020-05-29,1,38,2,15,0,0
2020-05-30,2,40,12,27,0,0
2020-06-01,1,41,3,30,0,0
2020-06-02,2,43,0,30,0,0
2020-06-03,1,44,0,30,0,0
2020-06-04,0,44,0,30,1,1
2020-06-05,3,47,2,32,0,1
2020-06-07,0,47,3,35,0,1
2020-06-08,0,47,1,36,0,1
2020-06-11,4,51,0,36,0,1
2020-06-13,0,51,3,39,0,1
2020-06-15,0,51,3,42,0,1
2020-06-17,0,51,4,46,0,1
2020-06-18,1,52,0,46,0,1
2020-06-21,1,53,0,46,0,1
2020-06-22,2,55,0,46,0,1
2020-06-23,2,57,4,50,0,1
2020-06-25,4,61,1,51,0,1
2020-06-26,3,64,0,51,0,1
2020-06-27,0,64,0,51,1,2
2020-06-28,3,67,0,51,0,2
2020-06-29,8,75,0,51,0,2
2020-06-30,3,78,0,51,0,2
2020-07-02,1,79,0,51,0,2
2020-07-03,8,87,0,51,0,2
2020-07-04,3,90,0,51,0,2
2020-07-05,3,93,5,56,0,2
2020-07-06,3,96,0,56,0,2
2020-07-08,5,101,3,59,0,2
2020-07-09,4,105,12,71,0,2
2020-07-10,3,108,0,71,0,2
