dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-05,1,1,0,0,0,0
2020-05-03,1,2,0,0,0,0
2020-05-11,5,7,0,0,0,0
2020-05-14,3,10,0,0,0,0
2020-05-15,12,22,0,0,0,0
2020-05-16,7,29,0,0,0,0
2020-05-18,0,29,1,1,0,0
2020-05-20,50,79,0,1,0,0
2020-05-21,54,133,0,1,0,0
2020-05-22,0,133,2,3,0,0
2020-05-25,7,140,1,4,0,0
2020-05-26,2,142,17,21,1,1
2020-05-27,2,144,0,21,0,1
2020-05-28,0,144,54,75,0,1
2020-05-29,3,147,43,118,0,1
2020-05-30,5,152,0,118,0,1
2020-05-31,4,156,11,129,0,1
2020-06-01,3,159,1,130,0,1
2020-06-02,4,163,0,130,0,1
2020-06-04,1,164,7,137,0,1
2020-06-05,4,168,0,137,0,1
2020-06-06,2,170,0,137,0,1
2020-06-07,9,179,0,137,0,1
2020-06-08,0,179,2,139,0,1
2020-06-09,7,186,0,139,0,1
2020-06-10,1,187,0,139,0,1
2020-06-11,8,195,0,139,0,1
2020-06-12,19,214,15,154,0,1
2020-06-14,15,229,0,154,0,1
2020-06-15,4,233,7,161,0,1
2020-06-16,0,233,1,162,0,1
2020-06-17,8,241,6,168,0,1
2020-06-18,7,248,0,168,0,1
2020-06-19,4,252,0,168,0,1
2020-06-20,4,256,9,177,0,1
2020-06-21,24,280,0,177,0,1
2020-06-22,6,286,16,193,0,1
2020-06-23,5,291,19,212,0,1
2020-06-24,6,297,16,228,0,1
2020-06-25,5,302,4,232,0,1
2020-06-26,11,313,4,236,0,1
2020-06-27,0,313,6,242,0,1
2020-06-28,8,321,9,251,0,1
2020-06-29,8,329,1,252,0,1
2020-06-30,1,330,4,256,0,1
2020-07-01,1,331,22,278,1,2
2020-07-02,31,362,6,284,0,2
2020-07-03,32,394,5,289,0,2
2020-07-04,16,410,6,295,0,2
2020-07-05,2,412,13,308,0,2
2020-07-06,8,420,0,308,0,2
2020-07-07,26,446,11,319,0,2
2020-07-08,67,513,7,326,0,2
2020-07-09,4,517,1,327,1,3
2020-07-10,69,586,27,354,0,3
