dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-01,1,1,0,0,1,1
2020-04-02,2,3,0,0,0,1
2020-04-03,2,5,0,0,0,1
2020-04-07,3,8,0,0,0,1
2020-04-10,1,9,0,0,0,1
2020-04-13,5,14,0,0,0,1
2020-04-15,2,16,0,0,0,1
2020-04-19,3,19,0,0,0,1
2020-04-21,1,20,0,0,0,1
2020-04-24,3,23,0,0,0,1
2020-04-27,0,23,8,8,0,1
2020-05-01,2,25,0,8,0,1
2020-05-02,7,32,0,8,0,1
2020-05-06,4,36,7,15,0,1
2020-05-08,-1,35,4,19,0,1
2020-05-09,2,37,0,19,0,1
2020-05-10,1,38,0,19,0,1
2020-05-11,3,41,0,19,0,1
2020-05-13,0,41,0,19,0,1
2020-05-14,5,46,0,19,0,1
2020-05-16,2,48,0,19,0,1
2020-05-17,4,52,2,21,0,1
2020-05-18,2,54,4,25,0,1
2020-05-19,44,98,0,25,1,2
2020-05-20,6,104,0,25,0,2
2020-05-21,16,120,0,25,0,2
2020-05-23,-1,119,-2,23,0,2
2020-05-24,5,124,0,23,0,2
2020-05-25,16,140,0,23,1,3
2020-05-26,3,143,15,38,0,3
2020-05-27,5,148,0,38,0,3
2020-05-28,7,155,-2,36,1,4
2020-05-29,1,156,0,36,0,4
2020-05-30,11,167,0,36,0,4
2020-05-31,7,174,0,36,0,4
2020-06-01,17,191,1,37,0,4
2020-06-02,18,209,0,37,0,4
2020-06-04,11,220,1,38,0,4
2020-06-05,0,220,4,42,0,4
2020-06-06,8,228,9,51,0,4
2020-06-07,6,234,32,83,0,4
2020-06-08,3,237,22,105,0,4
2020-06-09,2,239,17,122,1,5
2020-06-10,5,244,10,132,5,10
2020-06-11,5,249,23,155,0,10
2020-06-12,2,251,5,160,1,11
2020-06-13,8,259,4,164,1,12
2020-06-15,4,263,8,172,0,12
2020-06-16,6,269,14,186,0,12
2020-06-17,19,288,9,195,0,12
2020-06-18,15,303,3,198,0,12
2020-06-19,8,311,7,205,0,12
2020-06-20,-3,308,0,205,0,12
2020-06-21,13,321,4,209,0,12
2020-06-22,5,326,2,211,0,12
2020-06-23,2,328,13,224,1,13
2020-06-24,0,328,5,229,0,13
2020-06-25,7,335,6,235,0,13
2020-06-26,7,342,0,235,1,14
2020-06-27,6,348,8,243,1,15
2020-06-28,2,350,15,258,0,15
2020-06-29,1,351,20,278,0,15
2020-06-30,3,354,10,288,0,15
2020-07-01,1,355,0,288,0,15
2020-07-02,14,369,6,294,0,15
2020-07-03,2,371,13,307,0,15
2020-07-04,4,375,4,311,0,15
2020-07-05,1,376,4,315,0,15
2020-07-06,2,378,0,315,0,15
2020-07-07,2,380,5,320,0,15
2020-07-08,0,380,3,323,0,15
2020-07-09,4,384,3,326,0,15
2020-07-10,16,400,1,327,0,15
