dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,1,1,0,0,0,0
2020-04-14,8,9,0,0,0,0
2020-04-16,4,13,0,0,0,0
2020-04-18,9,22,0,0,0,0
2020-04-20,4,26,0,0,0,0
2020-04-21,1,27,0,0,0,0
2020-04-23,1,28,0,0,0,0
2020-04-27,1,29,1,1,0,0
2020-04-28,1,30,0,1,0,0
2020-04-29,1,31,0,1,0,0
2020-05-01,0,31,20,21,0,0
2020-05-02,2,33,0,21,0,0
2020-05-05,0,33,0,21,1,1
2020-05-07,1,34,0,21,0,1
2020-05-08,-2,32,0,21,0,1
2020-05-09,9,41,3,24,0,1
2020-05-10,1,42,2,26,0,1
2020-05-12,1,43,1,27,0,1
2020-05-14,2,45,1,28,0,1
2020-05-17,0,45,6,34,0,1
2020-05-18,0,45,6,40,0,1
2020-05-19,3,48,1,41,0,1
2020-05-20,9,57,0,41,0,1
2020-05-21,4,61,1,42,0,1
2020-05-22,3,64,2,44,0,1
2020-05-23,5,69,0,44,0,1
2020-05-24,6,75,0,44,0,1
2020-05-25,3,78,1,45,1,2
2020-05-26,1,79,0,45,0,2
2020-05-27,3,82,0,45,0,2
2020-05-28,2,84,2,47,0,2
2020-05-29,3,87,0,47,0,2
2020-05-30,7,94,1,48,0,2
2020-05-31,5,99,12,60,0,2
2020-06-01,1,100,1,61,0,2
2020-06-02,13,113,2,63,0,2
2020-06-03,2,115,0,63,0,2
2020-06-04,2,117,0,63,0,2
2020-06-05,19,136,0,63,0,2
2020-06-06,8,144,4,67,0,2
2020-06-07,11,155,0,67,0,2
2020-06-08,8,163,3,70,0,2
2020-06-09,4,167,9,79,1,3
2020-06-10,0,167,7,86,0,3
2020-06-11,6,173,7,93,1,4
2020-06-12,25,198,4,97,0,4
2020-06-13,1,199,2,99,0,4
2020-06-14,4,203,12,111,0,4
2020-06-15,3,206,1,112,0,4
2020-06-16,0,206,15,127,0,4
2020-06-17,5,211,13,140,0,4
2020-06-18,1,212,13,153,0,4
2020-06-20,5,217,2,155,0,4
2020-06-21,4,221,31,186,1,5
2020-06-22,3,224,7,193,0,5
2020-06-23,5,229,5,198,0,5
2020-06-25,18,247,5,203,0,5
2020-06-26,4,251,0,203,0,5
2020-06-27,6,257,6,209,1,6
2020-06-28,21,278,0,209,0,6
2020-06-29,8,286,0,209,0,6
2020-06-30,0,286,4,213,0,6
2020-07-01,2,288,3,216,0,6
2020-07-02,11,299,4,220,0,6
2020-07-03,6,305,1,221,0,6
2020-07-04,11,316,17,238,0,6
2020-07-05,12,328,3,241,0,6
2020-07-06,8,336,6,247,0,6
2020-07-07,15,351,3,250,0,6
2020-07-08,12,363,6,256,0,6
2020-07-09,10,373,23,279,0,6
2020-07-10,13,386,2,281,0,6
