dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-09,1,1,0,0,0,0
2020-05-10,1,2,0,0,0,0
2020-05-12,6,8,0,0,0,0
2020-05-16,5,13,0,0,0,0
2020-05-18,5,18,0,0,0,0
2020-05-19,2,20,0,0,0,0
2020-05-21,2,22,0,0,0,0
2020-05-23,2,24,0,0,0,0
2020-05-24,1,25,7,7,0,0
2020-05-26,0,25,1,8,0,0
2020-05-27,2,27,0,8,0,0
2020-05-28,1,28,0,8,0,0
2020-05-29,4,32,1,9,0,0
2020-05-30,3,35,8,17,1,1
2020-05-31,1,36,1,18,0,1
2020-06-01,1,37,0,18,0,1
2020-06-02,1,38,1,19,0,1
2020-06-03,3,41,0,19,0,1
2020-06-04,4,45,2,21,0,1
2020-06-05,3,48,0,21,0,1
2020-06-06,6,54,0,21,0,1
2020-06-08,0,54,2,23,0,1
2020-06-09,1,55,3,26,0,1
2020-06-10,5,60,0,26,0,1
2020-06-11,-1,59,0,26,0,1
2020-06-12,3,62,7,33,0,1
2020-06-13,1,63,0,33,0,1
2020-06-14,11,74,2,35,0,1
2020-06-15,3,77,3,38,0,1
2020-06-16,9,86,0,38,0,1
2020-06-17,1,87,0,38,0,1
2020-06-18,-1,86,6,44,0,1
2020-06-19,6,92,1,45,0,1
2020-06-20,5,97,0,45,1,2
2020-06-21,7,104,1,46,1,3
2020-06-22,5,109,1,47,0,3
2020-06-23,6,115,9,56,0,3
2020-06-24,11,126,2,58,0,3
2020-06-25,5,131,3,61,2,5
2020-06-26,2,133,8,69,1,6
2020-06-27,3,136,8,77,0,6
2020-06-28,7,143,5,82,0,6
2020-06-29,13,156,5,87,0,6
2020-06-30,7,163,5,92,1,7
2020-07-01,6,169,8,100,0,7
2020-07-02,12,181,4,104,0,7
2020-07-03,1,182,5,109,0,7
2020-07-04,13,195,7,116,0,7
2020-07-05,2,197,4,120,0,7
2020-07-06,3,200,1,121,0,7
2020-07-07,17,217,3,124,0,7
2020-07-08,11,228,7,131,1,8
2020-07-09,2,230,9,140,0,8
2020-07-10,13,243,8,148,0,8
