dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,4,4,0,0,0,0
2020-04-07,3,7,0,0,0,0
2020-04-09,4,11,0,0,0,0
2020-04-12,4,15,0,0,0,0
2020-04-13,4,19,0,0,0,0
2020-04-15,6,25,0,0,0,0
2020-04-16,2,27,0,0,0,0
2020-04-18,11,38,0,0,0,0
2020-04-19,10,48,0,0,0,0
2020-04-20,10,58,0,0,0,0
2020-04-21,1,59,0,0,0,0
2020-04-22,6,65,0,0,0,0
2020-04-23,1,66,0,0,0,0
2020-04-24,9,75,0,0,0,0
2020-04-25,8,83,0,0,0,0
2020-04-27,17,100,0,0,0,0
2020-04-29,10,110,7,7,1,1
2020-04-30,1,111,0,7,0,1
2020-05-01,13,124,13,20,0,1
2020-05-02,13,137,10,30,0,1
2020-05-03,10,147,7,37,0,1
2020-05-04,11,158,1,38,0,1
2020-05-05,7,165,0,38,1,2
2020-05-06,12,177,7,45,0,2
2020-05-07,1,178,12,57,0,2
2020-05-08,6,184,17,74,1,3
2020-05-09,7,191,6,80,0,3
2020-05-10,2,193,0,80,0,3
2020-05-11,0,193,6,86,0,3
2020-05-12,1,194,10,96,0,3
2020-05-13,0,194,12,108,0,3
2020-05-14,0,194,8,116,0,3
2020-05-15,2,196,16,132,0,3
2020-05-16,3,199,23,155,0,3
2020-05-17,1,200,8,163,0,3
2020-05-18,3,203,8,171,0,3
2020-05-19,0,203,3,174,1,4
2020-05-20,1,204,4,178,0,4
2020-05-21,0,204,3,181,1,5
2020-05-22,4,208,1,182,0,5
2020-05-23,0,208,2,184,1,6
2020-05-24,1,209,1,185,1,7
2020-05-25,10,219,1,186,0,7
2020-05-26,8,227,1,187,1,8
2020-05-27,3,230,2,189,0,8
2020-05-28,8,238,3,192,1,9
2020-05-29,7,245,2,194,0,9
2020-05-30,9,254,0,194,3,12
2020-05-31,19,273,0,194,0,12
2020-06-01,0,273,3,197,0,12
2020-06-02,14,287,2,199,0,12
2020-06-03,1,288,0,199,0,12
2020-06-04,5,293,-2,197,3,15
2020-06-05,11,304,3,200,0,15
2020-06-06,9,313,14,214,2,17
2020-06-07,3,316,6,220,0,17
2020-06-08,3,319,1,221,0,17
2020-06-09,0,319,7,228,0,17
2020-06-10,5,324,11,239,0,17
2020-06-11,13,337,7,246,0,17
2020-06-12,22,359,4,250,1,18
2020-06-13,3,362,9,259,0,18
2020-06-14,12,374,14,273,0,18
2020-06-15,10,384,2,275,0,18
2020-06-16,12,396,9,284,0,18
2020-06-17,14,410,9,293,0,18
2020-06-18,17,427,8,301,1,19
2020-06-19,17,444,0,301,0,19
2020-06-20,3,447,15,316,0,19
2020-06-21,5,452,5,321,0,19
2020-06-22,10,462,3,324,0,19
2020-06-23,12,474,14,338,1,20
2020-06-24,4,478,4,342,0,20
2020-06-25,20,498,10,352,0,20
2020-06-26,5,503,12,364,1,21
2020-06-27,4,507,33,397,1,22
2020-06-28,2,509,9,406,0,22
2020-06-29,3,512,9,415,1,23
2020-06-30,4,516,12,427,1,24
2020-07-01,3,519,2,429,0,24
2020-07-02,1,520,12,441,1,25
2020-07-03,1,521,6,447,0,25
2020-07-04,7,528,1,448,0,25
2020-07-05,1,529,5,453,1,26
2020-07-06,7,536,15,468,2,28
2020-07-07,4,540,7,475,1,29
2020-07-08,5,545,4,479,0,29
2020-07-09,1,546,6,485,0,29
2020-07-10,0,546,1,486,0,29
