dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,1,1,0,0,0,0
2020-04-04,2,3,0,0,0,0
2020-04-05,2,5,0,0,0,0
2020-04-20,1,6,0,0,0,0
2020-04-25,2,8,0,0,0,0
2020-05-07,0,8,1,1,0,0
2020-05-09,1,9,0,1,0,0
2020-05-11,1,10,0,1,0,0
2020-05-13,2,12,0,1,0,0
2020-05-14,4,16,0,1,0,0
2020-05-15,13,29,0,1,0,0
2020-05-17,8,37,0,1,0,0
2020-05-18,1,38,0,1,0,0
2020-05-19,7,45,0,1,0,0
2020-05-20,6,51,1,2,0,0
2020-05-21,12,63,0,2,0,0
2020-05-22,14,77,0,2,0,0
2020-05-23,2,79,1,3,0,0
2020-05-25,8,87,11,14,0,0
2020-05-26,7,94,0,14,0,0
2020-05-27,1,95,11,25,0,0
2020-05-28,5,100,1,26,0,0
2020-05-29,4,104,0,26,0,0
2020-05-30,2,106,41,67,0,0
2020-05-31,19,125,0,67,0,0
2020-06-01,3,128,-4,63,0,0
2020-06-02,1,129,0,63,0,0
2020-06-03,7,136,0,63,0,0
2020-06-04,4,140,1,64,0,0
2020-06-05,16,156,1,65,0,0
2020-06-06,3,159,0,65,0,0
2020-06-07,5,164,0,65,0,0
2020-06-08,0,164,10,75,0,0
2020-06-09,5,169,3,78,0,0
2020-06-11,2,171,6,84,0,0
2020-06-12,0,171,37,121,0,0
2020-06-13,16,187,0,121,0,0
2020-06-14,0,187,-1,120,0,0
2020-06-15,4,191,34,154,0,0
2020-06-17,19,210,3,157,0,0
2020-06-18,20,230,0,157,0,0
2020-06-19,20,250,3,160,0,0
2020-06-20,11,261,0,160,0,0
2020-06-21,21,282,6,166,0,0
2020-06-22,4,286,3,169,1,1
2020-06-23,9,295,34,203,1,2
2020-06-24,17,312,0,203,0,2
2020-06-25,9,321,32,235,0,2
2020-06-26,1,322,11,246,0,2
2020-06-27,5,327,21,267,0,2
2020-06-28,1,328,3,270,1,3
2020-06-29,2,330,12,282,0,3
2020-06-30,1,331,4,286,0,3
2020-07-01,6,337,1,287,0,3
2020-07-02,23,360,1,288,1,4
2020-07-03,2,362,0,288,0,4
2020-07-04,5,367,15,303,0,4
2020-07-05,6,373,6,309,0,4
2020-07-06,1,374,0,309,0,4
2020-07-07,2,376,7,316,0,4
2020-07-08,3,379,1,317,0,4
2020-07-09,8,387,2,319,2,6
2020-07-10,3,390,0,319,0,6
