dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-17,1,1,0,0,0,0
2020-04-28,1,2,0,0,0,0
2020-05-02,1,3,0,0,0,0
2020-05-03,0,3,1,1,0,0
2020-05-05,5,8,0,1,0,0
2020-05-07,2,10,0,1,0,0
2020-05-08,1,11,1,2,0,0
2020-05-10,1,12,0,2,0,0
2020-05-11,6,18,0,2,0,0
2020-05-12,3,21,0,2,0,0
2020-05-15,3,24,0,2,0,0
2020-05-17,5,29,1,3,0,0
2020-05-18,2,31,0,3,0,0
2020-05-19,5,36,11,14,0,0
2020-05-22,3,39,1,15,0,0
2020-05-23,0,39,7,22,0,0
2020-05-24,11,50,0,22,0,0
2020-05-25,0,50,2,24,0,0
2020-05-26,2,52,4,28,0,0
2020-05-27,3,55,3,31,0,0
2020-05-28,5,60,2,33,0,0
2020-05-29,3,63,0,33,0,0
2020-05-30,0,63,6,39,0,0
2020-05-31,0,63,-1,38,0,0
2020-06-01,2,65,0,38,0,0
2020-06-02,3,68,6,44,0,0
2020-06-03,2,70,0,44,0,0
2020-06-04,1,71,2,46,0,0
2020-06-05,6,77,4,50,0,0
2020-06-06,5,82,0,50,0,0
2020-06-07,4,86,2,52,0,0
2020-06-09,5,91,7,59,0,0
2020-06-10,17,108,0,59,0,0
2020-06-11,1,109,3,62,0,0
2020-06-12,1,110,0,62,0,0
2020-06-13,0,110,6,68,0,0
2020-06-14,1,111,0,68,0,0
2020-06-15,1,112,1,69,0,0
2020-06-16,5,117,0,69,1,1
2020-06-17,1,118,7,76,1,2
2020-06-18,4,122,4,80,1,3
2020-06-19,3,125,6,86,0,3
2020-06-20,4,129,7,93,0,3
2020-06-21,5,134,14,107,0,3
2020-06-22,5,139,2,109,0,3
2020-06-23,8,147,1,110,0,3
2020-06-24,2,149,0,110,1,4
2020-06-25,1,150,5,115,0,4
2020-06-26,6,156,0,115,1,5
2020-06-27,0,156,3,118,0,5
2020-06-28,0,156,3,121,0,5
2020-06-29,1,157,4,125,0,5
2020-06-30,8,165,0,125,0,5
2020-07-01,1,166,7,132,0,5
2020-07-02,2,168,9,141,0,5
2020-07-03,5,173,6,147,0,5
2020-07-04,2,175,1,148,0,5
2020-07-05,3,178,1,149,0,5
2020-07-06,4,182,0,149,0,5
2020-07-07,4,186,1,150,0,5
2020-07-08,5,191,3,153,0,5
2020-07-09,14,205,4,157,0,5
2020-07-10,3,208,3,160,2,7
