dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-27,1,1,0,0,0,0
2020-04-30,1,2,0,0,0,0
2020-05-02,1,3,0,0,0,0
2020-05-09,1,4,0,0,0,0
2020-05-13,2,6,0,0,0,0
2020-05-14,4,10,0,0,0,0
2020-05-15,1,11,0,0,0,0
2020-05-16,2,13,0,0,0,0
2020-05-17,0,13,2,2,0,0
2020-05-18,6,19,0,2,0,0
2020-05-19,2,21,0,2,0,0
2020-05-20,6,27,1,3,1,1
2020-05-21,2,29,0,3,2,3
2020-05-23,9,38,0,3,0,3
2020-05-24,2,40,3,6,0,3
2020-05-25,13,53,0,6,1,4
2020-05-26,7,60,2,8,0,4
2020-05-27,2,62,3,11,1,5
2020-05-28,9,71,4,15,0,5
2020-05-29,3,74,1,16,0,5
2020-05-30,2,76,3,19,0,5
2020-05-31,4,80,0,19,1,6
2020-06-01,24,104,0,19,0,6
2020-06-02,7,111,6,25,0,6
2020-06-03,3,114,4,29,0,6
2020-06-04,3,117,0,29,0,6
2020-06-05,5,122,0,29,1,7
2020-06-06,4,126,0,29,0,7
2020-06-07,4,130,8,37,0,7
2020-06-08,11,141,0,37,1,8
2020-06-09,4,145,13,50,0,8
2020-06-10,3,148,3,53,0,8
2020-06-11,1,149,0,53,0,8
2020-06-12,1,150,8,61,0,8
2020-06-13,3,153,7,68,0,8
2020-06-14,14,167,22,90,0,8
2020-06-15,3,170,0,90,0,8
2020-06-16,3,173,15,105,0,8
2020-06-17,20,193,8,113,0,8
2020-06-18,12,205,0,113,0,8
2020-06-19,10,215,14,127,0,8
2020-06-20,7,222,3,130,0,8
2020-06-21,3,225,1,131,2,10
2020-06-22,15,240,21,152,1,11
2020-06-23,6,246,17,169,0,11
2020-06-24,11,257,3,172,0,11
2020-06-25,22,279,11,183,0,11
2020-06-26,14,293,6,189,0,11
2020-06-27,5,298,1,190,0,11
2020-06-28,10,308,5,195,1,12
2020-06-29,17,325,1,196,1,13
2020-06-30,19,344,11,207,0,13
2020-07-01,13,357,26,233,0,13
2020-07-02,20,377,8,241,0,13
2020-07-03,18,395,6,247,0,13
2020-07-04,16,411,15,262,0,13
2020-07-05,19,430,9,271,0,13
2020-07-06,24,454,0,271,0,13
2020-07-07,35,489,34,305,0,13
2020-07-08,14,503,7,312,1,14
2020-07-09,15,518,20,332,0,14
2020-07-10,20,538,14,346,2,16
