dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,4,4,0,0,0,0
2020-05-01,1,5,0,0,0,0
2020-05-02,1,6,0,0,0,0
2020-05-03,1,7,0,0,0,0
2020-05-07,2,9,0,0,0,0
2020-05-11,10,19,0,0,0,0
2020-05-12,0,19,1,1,0,0
2020-05-15,1,20,3,4,0,0
2020-05-20,0,20,1,5,0,0
2020-05-21,0,20,9,14,0,0
2020-05-22,1,21,0,14,0,0
2020-05-23,1,22,0,14,0,0
2020-05-24,0,22,2,16,0,0
2020-05-29,1,23,0,16,0,0
2020-05-30,5,28,0,16,0,0
2020-06-01,5,33,0,16,0,0
2020-06-02,1,34,0,16,0,0
2020-06-03,1,35,0,16,0,0
2020-06-05,0,35,2,18,0,0
2020-06-06,1,36,0,18,1,1
2020-06-08,6,42,0,18,0,1
2020-06-09,3,45,0,18,0,1
2020-06-10,2,47,2,20,0,1
2020-06-11,2,49,3,23,1,2
2020-06-12,7,56,0,23,0,2
2020-06-13,9,65,1,24,0,2
2020-06-14,13,78,4,28,0,2
2020-06-15,3,81,0,28,0,2
2020-06-16,4,85,5,33,0,2
2020-06-18,23,108,0,33,0,2
2020-06-19,3,111,5,38,0,2
2020-06-20,1,112,7,45,0,2
2020-06-21,18,130,18,63,0,2
2020-06-22,13,143,2,65,1,3
2020-06-23,1,144,2,67,0,3
2020-06-24,-1,143,6,73,0,3
2020-06-25,8,151,22,95,0,3
2020-06-26,12,163,0,95,0,3
2020-06-27,4,167,4,99,0,3
2020-06-28,1,168,20,119,0,3
2020-06-29,0,168,4,123,0,3
2020-06-30,3,171,5,128,0,3
2020-07-01,4,175,0,128,0,3
2020-07-02,11,186,8,136,0,3
2020-07-03,5,191,3,139,0,3
2020-07-04,3,194,5,144,0,3
2020-07-05,1,195,4,148,0,3
2020-07-06,3,198,6,154,0,3
2020-07-07,1,199,2,156,0,3
2020-07-08,1,200,2,158,0,3
2020-07-09,0,200,16,174,0,3
2020-07-10,2,202,2,176,1,4
