dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-26,1,1,0,0,0,0
2020-04-27,1,2,0,0,0,0
2020-04-28,1,3,0,0,0,0
2020-05-02,1,4,0,0,0,0
2020-05-03,1,5,0,0,0,0
2020-05-06,3,8,0,0,0,0
2020-05-08,2,10,0,0,0,0
2020-05-09,20,30,0,0,0,0
2020-05-11,1,31,0,0,0,0
2020-05-12,6,37,0,0,0,0
2020-05-14,-1,36,0,0,0,0
2020-05-15,0,36,1,1,1,1
2020-05-16,4,40,0,1,0,1
2020-05-17,0,40,1,2,0,1
2020-05-18,0,40,1,3,0,1
2020-05-19,1,41,0,3,1,2
2020-05-20,0,41,11,14,0,2
2020-05-21,1,42,14,28,0,2
2020-05-23,0,42,6,34,0,2
2020-05-24,1,43,1,35,0,2
2020-05-27,0,43,4,39,0,2
2020-06-01,1,44,0,39,0,2
2020-06-02,0,44,2,41,0,2
2020-06-04,3,47,0,41,0,2
2020-06-05,1,48,0,41,1,3
2020-06-06,1,49,0,41,0,3
2020-06-08,11,60,0,41,0,3
2020-06-09,10,70,0,41,1,4
2020-06-10,2,72,0,41,0,4
2020-06-11,9,81,0,41,0,4
2020-06-12,9,90,0,41,0,4
2020-06-13,8,98,0,41,0,4
2020-06-14,2,100,0,41,0,4
2020-06-15,9,109,1,42,1,5
2020-06-17,3,112,0,42,0,5
2020-06-18,8,120,4,46,0,5
2020-06-19,5,125,1,47,0,5
2020-06-20,11,136,6,53,0,5
2020-06-21,4,140,7,60,0,5
2020-06-22,3,143,1,61,0,5
2020-06-23,5,148,12,73,1,6
2020-06-24,10,158,15,88,0,6
2020-06-25,2,160,0,88,0,6
2020-06-26,1,161,0,88,0,6
2020-06-27,4,165,11,99,0,6
2020-06-28,5,170,9,108,0,6
2020-06-29,4,174,5,113,0,6
2020-06-30,13,187,6,119,0,6
2020-07-01,1,188,3,122,1,7
2020-07-02,5,193,4,126,0,7
2020-07-03,3,196,6,132,0,7
2020-07-04,5,201,10,142,0,7
2020-07-05,0,201,9,151,0,7
2020-07-06,0,201,1,152,0,7
2020-07-08,0,201,3,155,0,7
2020-07-09,3,204,9,164,0,7
2020-07-10,2,206,4,168,1,8
