dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-27,1,1,0,0,0,0
2020-04-29,2,3,0,0,0,0
2020-04-30,1,4,0,0,0,0
2020-05-02,5,9,0,0,0,0
2020-05-05,6,15,0,0,1,1
2020-05-08,5,20,0,0,1,2
2020-05-10,5,25,0,0,0,2
2020-05-11,1,26,0,0,0,2
2020-05-13,4,30,0,0,0,2
2020-05-16,0,30,3,3,2,4
2020-05-18,0,30,12,15,0,4
2020-05-19,0,30,3,18,0,4
2020-05-21,0,30,2,20,0,4
2020-05-23,1,31,4,24,0,4
2020-05-24,1,32,0,24,0,4
2020-05-25,0,32,2,26,0,4
2020-05-28,5,37,0,26,0,4
2020-05-30,0,37,0,26,1,5
2020-06-01,5,42,0,26,0,5
2020-06-02,1,43,0,26,0,5
2020-06-04,3,46,0,26,0,5
2020-06-05,0,46,0,26,1,6
2020-06-06,1,47,0,26,0,6
2020-06-07,4,51,2,28,0,6
2020-06-08,3,54,2,30,0,6
2020-06-09,9,63,0,30,0,6
2020-06-10,1,64,2,32,2,8
2020-06-11,3,67,0,32,1,9
2020-06-12,2,69,1,33,0,9
2020-06-13,6,75,2,35,0,9
2020-06-14,5,80,0,35,0,9
2020-06-15,2,82,4,39,0,9
2020-06-16,0,82,0,39,1,10
2020-06-17,2,84,0,39,0,10
2020-06-18,4,88,4,43,1,11
2020-06-19,4,92,2,45,0,11
2020-06-20,6,98,1,46,0,11
2020-06-21,0,98,2,48,1,12
2020-06-22,8,106,6,54,0,12
2020-06-23,6,112,0,54,0,12
2020-06-24,2,114,3,57,2,14
2020-06-25,12,126,3,60,0,14
2020-06-26,4,130,1,61,0,14
2020-06-27,15,145,1,62,2,16
2020-06-28,14,159,1,63,2,18
2020-06-29,16,175,4,67,0,18
2020-06-30,18,193,2,69,0,18
2020-07-01,1,194,4,73,1,19
2020-07-02,7,201,0,73,2,21
2020-07-03,13,214,10,83,1,22
2020-07-04,19,233,6,89,2,24
2020-07-05,13,246,2,91,1,25
2020-07-06,33,279,0,91,2,27
2020-07-07,47,326,9,100,0,27
2020-07-08,51,377,1,101,2,29
2020-07-09,27,404,8,109,2,31
2020-07-10,61,465,6,115,2,33
