dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,1,1,0,0,0,0
2020-04-08,1,2,0,0,0,0
2020-05-13,3,5,0,0,0,0
2020-05-14,1,6,0,0,0,0
2020-05-16,2,8,0,0,0,0
2020-05-18,9,17,0,0,0,0
2020-05-19,12,29,0,0,0,0
2020-05-20,4,33,0,0,0,0
2020-05-21,12,45,1,1,0,0
2020-05-22,-1,44,2,3,0,0
2020-05-24,1,45,0,3,0,0
2020-05-25,2,47,4,7,0,0
2020-05-27,0,47,1,8,0,0
2020-05-28,0,47,9,17,0,0
2020-05-29,1,48,8,25,0,0
2020-05-30,0,48,2,27,0,0
2020-06-01,1,49,12,39,0,0
2020-06-02,0,49,2,41,0,0
2020-06-03,0,49,4,45,0,0
2020-06-07,1,50,0,45,0,0
2020-06-11,4,54,3,48,0,0
2020-06-12,-1,53,0,48,0,0
2020-06-17,7,60,0,48,0,0
2020-06-18,3,63,0,48,0,0
2020-06-20,0,63,2,50,0,0
2020-06-22,1,64,1,51,0,0
2020-06-24,1,65,1,52,0,0
2020-06-25,0,65,2,54,0,0
2020-06-26,1,66,7,61,0,0
2020-06-27,7,73,0,61,0,0
2020-06-28,3,76,0,61,0,0
2020-06-29,6,82,1,62,0,0
2020-06-30,3,85,-1,61,0,0
2020-07-01,4,89,0,61,1,1
2020-07-02,6,95,1,62,0,1
2020-07-03,8,103,1,63,0,1
2020-07-04,9,112,1,64,0,1
2020-07-05,4,116,0,64,0,1
2020-07-06,21,137,6,70,0,1
2020-07-07,9,146,4,74,0,1
2020-07-08,8,154,3,77,0,1
2020-07-09,6,160,4,81,0,1
2020-07-10,0,160,3,84,0,1
