dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-05,1,1,0,0,0,0
2020-05-06,1,2,0,0,0,0
2020-05-09,1,3,0,0,0,0
2020-05-10,-1,2,0,0,0,0
2020-05-16,1,3,0,0,0,0
2020-05-17,2,5,2,2,0,0
2020-05-18,0,5,0,2,1,1
2020-05-19,2,7,0,2,0,1
2020-05-23,1,8,0,2,0,1
2020-05-24,1,9,0,2,0,1
2020-05-26,1,10,1,3,0,1
2020-05-28,0,10,2,5,1,2
2020-05-29,1,11,0,5,0,2
2020-05-30,0,11,1,6,0,2
2020-05-31,6,17,0,6,0,2
2020-06-01,7,24,0,6,0,2
2020-06-02,3,27,0,6,0,2
2020-06-03,0,27,1,7,0,2
2020-06-04,7,34,0,7,0,2
2020-06-05,10,44,0,7,0,2
2020-06-06,10,54,0,7,0,2
2020-06-09,3,57,1,8,0,2
2020-06-10,0,57,3,11,0,2
2020-06-12,0,57,3,14,0,2
2020-06-13,0,57,1,15,0,2
2020-06-14,1,58,9,24,0,2
2020-06-15,0,58,1,25,0,2
2020-06-16,3,61,4,29,0,2
2020-06-17,12,73,0,29,0,2
2020-06-18,3,76,0,29,0,2
2020-06-19,0,76,1,30,0,2
2020-06-20,10,86,0,30,0,2
2020-06-21,0,86,3,33,0,2
2020-06-22,1,87,20,53,0,2
2020-06-23,9,96,1,54,0,2
2020-06-24,9,105,1,55,0,2
2020-06-25,1,106,1,56,0,2
2020-06-26,6,112,2,58,0,2
2020-06-27,5,117,1,59,0,2
2020-06-28,4,121,4,63,0,2
2020-06-29,1,122,0,63,0,2
2020-06-30,8,130,5,68,1,3
2020-07-01,6,136,8,76,0,3
2020-07-02,4,140,2,78,0,3
2020-07-03,14,154,0,78,0,3
2020-07-04,6,160,7,85,0,3
2020-07-05,7,167,10,95,0,3
2020-07-06,7,174,2,97,1,4
2020-07-07,11,185,8,105,0,4
2020-07-08,8,193,2,107,0,4
2020-07-09,11,204,4,111,0,4
2020-07-10,8,212,9,120,0,4
