dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-19,1,1,0,0,0,0
2020-04-05,3,4,0,0,0,0
2020-04-11,0,4,1,1,0,0
2020-05-11,1,5,0,1,0,0
2020-05-14,9,14,0,1,0,0
2020-05-16,8,22,1,2,0,0
2020-05-17,10,32,0,2,0,0
2020-05-19,3,35,0,2,0,0
2020-05-20,5,40,0,2,0,0
2020-05-21,1,41,2,4,0,0
2020-05-22,7,48,0,4,0,0
2020-05-24,12,60,8,12,0,0
2020-05-26,2,62,0,12,0,0
2020-05-27,0,62,15,27,0,0
2020-05-28,2,64,3,30,0,0
2020-05-29,1,65,0,30,0,0
2020-05-30,3,68,2,32,0,0
2020-06-01,1,69,5,37,0,0
2020-06-02,0,69,2,39,0,0
2020-06-03,1,70,0,39,0,0
2020-06-04,2,72,10,49,0,0
2020-06-05,2,74,1,50,0,0
2020-06-06,1,75,1,51,0,0
2020-06-07,1,76,5,56,0,0
2020-06-09,4,80,4,60,0,0
2020-06-10,2,82,0,60,0,0
2020-06-11,-1,81,0,60,0,0
2020-06-12,1,82,1,61,0,0
2020-06-13,2,84,1,62,0,0
2020-06-14,0,84,2,64,0,0
2020-06-17,2,86,7,71,0,0
2020-06-18,1,87,0,71,0,0
2020-06-19,7,94,0,71,0,0
2020-06-20,0,94,7,78,0,0
2020-06-21,8,102,0,78,0,0
2020-06-22,3,105,1,79,0,0
2020-06-23,2,107,0,79,0,0
2020-06-25,1,108,1,80,0,0
2020-06-26,4,112,2,82,0,0
2020-06-27,2,114,0,82,0,0
2020-06-28,0,114,2,84,0,0
2020-06-29,0,114,1,85,0,0
2020-06-30,1,115,7,92,0,0
2020-07-01,0,115,5,97,0,0
2020-07-02,4,119,3,100,0,0
2020-07-03,0,119,2,102,0,0
2020-07-04,0,119,2,104,0,0
2020-07-05,9,128,1,105,0,0
2020-07-06,1,129,0,105,0,0
2020-07-07,4,133,6,111,0,0
2020-07-08,2,135,0,111,0,0
2020-07-09,1,136,0,111,0,0
2020-07-10,6,142,0,111,0,0
