dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,2,2,0,0,0,0
2020-04-12,1,3,0,0,0,0
2020-04-13,1,4,0,0,0,0
2020-04-19,1,5,0,0,0,0
2020-04-20,1,6,0,0,0,0
2020-04-22,1,7,0,0,0,0
2020-04-24,1,8,0,0,0,0
2020-04-25,1,9,0,0,0,0
2020-04-26,1,10,0,0,0,0
2020-04-28,2,12,1,1,0,0
2020-04-29,1,13,0,1,1,1
2020-05-01,0,13,3,4,0,1
2020-05-02,9,22,0,4,0,1
2020-05-03,5,27,0,4,0,1
2020-05-04,4,31,1,5,0,1
2020-05-05,1,32,0,5,0,1
2020-05-06,4,36,0,5,0,1
2020-05-07,2,38,0,5,0,1
2020-05-08,9,47,0,5,0,1
2020-05-09,5,52,1,6,0,1
2020-05-10,2,54,0,6,0,1
2020-05-11,2,56,3,9,0,1
2020-05-14,0,56,1,10,0,1
2020-05-16,-7,49,7,17,0,1
2020-05-17,-1,48,2,19,0,1
2020-05-18,2,50,11,30,0,1
2020-05-19,1,51,2,32,0,1
2020-05-20,6,57,5,37,0,1
2020-05-21,2,59,1,38,0,1
2020-05-22,1,60,5,43,0,1
2020-05-24,1,61,0,43,0,1
2020-05-25,4,65,0,43,0,1
2020-05-27,7,72,1,44,0,1
2020-05-28,3,75,0,44,1,2
2020-05-29,1,76,0,44,1,3
2020-05-30,0,76,7,51,0,3
2020-05-31,1,77,1,52,0,3
2020-06-02,6,83,0,52,0,3
2020-06-04,1,84,0,52,0,3
2020-06-05,13,97,8,60,0,3
2020-06-06,2,99,0,60,0,3
2020-06-07,0,99,4,64,0,3
2020-06-08,6,105,5,69,0,3
2020-06-09,2,107,0,69,0,3
2020-06-10,6,113,0,69,0,3
2020-06-11,11,124,1,70,0,3
2020-06-12,30,154,0,70,1,4
2020-06-13,3,157,4,74,1,5
2020-06-14,10,167,2,76,0,5
2020-06-15,10,177,0,76,0,5
2020-06-16,8,185,9,85,0,5
2020-06-17,2,187,0,85,0,5
2020-06-18,26,213,1,86,0,5
2020-06-19,19,232,5,91,0,5
2020-06-20,13,245,0,91,1,6
2020-06-21,3,248,16,107,1,7
2020-06-22,13,261,7,114,0,7
2020-06-23,15,276,18,132,1,8
2020-06-24,4,280,10,142,0,8
2020-06-25,7,287,4,146,0,8
2020-06-26,21,308,9,155,0,8
2020-06-27,6,314,4,159,1,9
2020-06-28,10,324,17,176,0,9
2020-06-29,6,330,7,183,1,10
2020-06-30,17,347,20,203,0,10
2020-07-01,15,362,7,210,0,10
2020-07-02,20,382,5,215,0,10
2020-07-03,9,391,15,230,0,10
2020-07-04,5,396,0,230,0,10
2020-07-05,41,437,6,236,2,12
2020-07-06,6,443,4,240,4,16
2020-07-07,0,443,13,253,1,17
2020-07-08,17,460,4,257,2,19
2020-07-09,20,480,9,266,0,19
2020-07-10,4,484,4,270,-1,18
