dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-19,1,1,0,0,0,0
2020-05-06,0,1,1,1,0,0
2020-05-14,1,2,0,1,0,0
2020-05-15,1,3,0,1,0,0
2020-05-17,1,4,0,1,0,0
2020-05-21,9,13,0,1,0,0
2020-05-23,1,14,0,1,0,0
2020-05-24,1,15,0,1,0,0
2020-05-27,4,19,0,1,0,0
2020-05-28,3,22,0,1,0,0
2020-05-30,1,23,0,1,0,0
2020-05-31,5,28,1,2,0,0
2020-06-01,1,29,0,2,0,0
2020-06-02,10,39,8,10,0,0
2020-06-03,4,43,0,10,1,1
2020-06-04,7,50,0,10,0,1
2020-06-05,2,52,2,12,0,1
2020-06-06,5,57,0,12,0,1
2020-06-07,5,62,0,12,0,1
2020-06-08,0,62,7,19,0,1
2020-06-09,0,62,11,30,0,1
2020-06-10,0,62,1,31,0,1
2020-06-11,2,64,7,38,0,1
2020-06-13,0,64,8,46,0,1
2020-06-14,4,68,8,54,0,1
2020-06-15,1,69,0,54,0,1
2020-06-16,1,70,0,54,1,2
2020-06-17,0,70,4,58,0,2
2020-06-18,4,74,1,59,0,2
2020-06-19,1,75,0,59,0,2
2020-06-21,10,85,0,59,0,2
2020-06-22,7,92,0,59,0,2
2020-06-23,1,93,0,59,1,3
2020-06-26,12,105,6,65,0,3
2020-06-27,1,106,1,66,0,3
2020-06-28,12,118,2,68,0,3
2020-06-29,13,131,0,68,0,3
2020-06-30,1,132,0,68,1,4
2020-07-01,10,142,4,72,0,4
2020-07-02,1,143,7,79,0,4
2020-07-03,11,154,7,86,0,4
2020-07-04,8,162,0,86,0,4
2020-07-05,13,175,0,86,0,4
2020-07-06,3,178,0,86,0,4
2020-07-07,7,185,0,86,0,4
2020-07-08,10,195,5,91,0,4
2020-07-09,12,207,0,91,0,4
2020-07-10,24,231,0,91,0,4
