dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-23,0,0,1,1,0,0
2020-03-25,0,0,1,2,0,0
2020-04-11,0,0,1,3,0,0
2020-04-27,1,1,0,3,0,0
2020-05-08,1,2,0,3,0,0
2020-05-09,0,2,1,4,0,0
2020-05-10,0,2,1,5,0,0
2020-05-13,2,4,0,5,0,0
2020-05-17,8,12,0,5,0,0
2020-05-18,1,13,0,5,0,0
2020-05-19,9,22,0,5,0,0
2020-05-20,8,30,0,5,0,0
2020-05-21,3,33,0,5,0,0
2020-05-22,3,36,0,5,0,0
2020-05-23,3,39,0,5,0,0
2020-05-26,0,39,2,7,0,0
2020-05-27,3,42,8,15,0,0
2020-05-29,1,43,2,17,0,0
2020-05-30,1,44,4,21,0,0
2020-05-31,0,44,13,34,0,0
2020-06-01,0,44,1,35,0,0
2020-06-02,1,45,3,38,0,0
2020-06-04,1,46,5,43,0,0
2020-06-05,1,47,0,43,0,0
2020-06-06,1,48,0,43,0,0
2020-06-07,2,50,2,45,0,0
2020-06-08,1,51,0,45,0,0
2020-06-09,3,54,0,45,0,0
2020-06-10,10,64,0,45,0,0
2020-06-11,8,72,0,45,0,0
2020-06-12,3,75,0,45,0,0
2020-06-13,5,80,2,47,0,0
2020-06-14,1,81,0,47,0,0
2020-06-15,1,82,0,47,0,0
2020-06-17,4,86,0,47,0,0
2020-06-18,2,88,0,47,0,0
2020-06-19,11,99,1,48,0,0
2020-06-20,1,100,3,51,0,0
2020-06-21,3,103,8,59,0,0
2020-06-22,-1,102,3,62,0,0
2020-06-23,2,104,2,64,0,0
2020-06-24,5,109,7,71,0,0
2020-06-25,2,111,0,71,0,0
2020-06-26,7,118,5,76,0,0
2020-06-27,1,119,13,89,0,0
2020-06-29,11,130,4,93,0,0
2020-06-30,3,133,8,101,0,0
2020-07-01,3,136,1,102,0,0
2020-07-02,0,136,3,105,0,0
2020-07-03,3,139,0,105,0,0
2020-07-04,2,141,0,105,0,0
2020-07-05,7,148,3,108,0,0
2020-07-06,7,155,10,118,0,0
2020-07-07,8,163,1,119,0,0
2020-07-09,6,169,4,123,0,0
2020-07-10,4,173,11,134,0,0
