dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-05,2,2,0,0,0,0
2020-04-21,33,35,0,0,0,0
2020-04-22,8,43,0,0,0,0
2020-04-28,1,44,0,0,0,0
2020-05-04,0,44,2,2,0,0
2020-05-05,2,46,0,2,0,0
2020-05-07,1,47,6,8,0,0
2020-05-09,0,47,25,33,0,0
2020-05-10,1,48,0,33,0,0
2020-05-11,1,49,2,35,0,0
2020-05-13,1,50,4,39,0,0
2020-05-14,0,50,2,41,0,0
2020-05-15,0,50,3,44,0,0
2020-05-16,1,51,0,44,0,0
2020-05-18,1,52,3,47,0,0
2020-05-19,6,58,0,47,0,0
2020-05-22,3,61,1,48,1,1
2020-05-23,1,62,0,48,0,1
2020-05-24,0,62,-1,47,0,1
2020-05-25,2,64,1,48,0,1
2020-05-26,3,67,0,48,0,1
2020-05-27,2,69,2,50,0,1
2020-05-28,3,72,0,50,0,1
2020-05-29,0,72,3,53,0,1
2020-05-30,0,72,4,57,0,1
2020-06-01,0,72,1,58,0,1
2020-06-03,1,73,0,58,0,1
2020-06-04,0,73,3,61,0,1
2020-06-05,1,74,0,61,0,1
2020-06-07,4,78,0,61,0,1
2020-06-08,14,92,1,62,0,1
2020-06-09,8,100,3,65,0,1
2020-06-10,0,100,3,68,0,1
2020-06-11,4,104,1,69,0,1
2020-06-12,1,105,1,70,0,1
2020-06-13,2,107,2,72,0,1
2020-06-14,2,109,0,72,1,2
2020-06-15,1,110,0,72,0,2
2020-06-16,1,111,0,72,0,2
2020-06-17,1,112,0,72,0,2
2020-06-18,1,113,2,74,0,2
2020-06-19,3,116,8,82,0,2
2020-06-20,5,121,14,96,0,2
2020-06-21,0,121,0,96,1,3
2020-06-22,-2,119,6,102,0,3
2020-06-23,0,119,2,104,0,3
2020-06-24,2,121,0,104,0,3
2020-06-25,5,126,0,104,0,3
2020-06-26,1,127,0,104,0,3
2020-06-27,1,128,0,104,0,3
2020-06-28,4,132,1,105,0,3
2020-06-29,2,134,4,109,0,3
2020-06-30,1,135,3,112,0,3
2020-07-01,1,136,0,112,0,3
2020-07-02,3,139,0,112,0,3
2020-07-03,3,142,4,116,0,3
2020-07-04,2,144,-1,115,0,3
2020-07-05,4,148,6,121,0,3
2020-07-06,4,152,0,121,0,3
2020-07-07,9,161,1,122,0,3
2020-07-08,5,166,3,125,0,3
2020-07-09,3,169,0,125,0,3
2020-07-10,1,170,5,130,1,4
