dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-08,5,5,0,0,0,0
2020-04-10,1,6,0,0,0,0
2020-04-19,8,14,0,0,0,0
2020-04-20,1,15,0,0,0,0
2020-04-21,1,16,0,0,0,0
2020-04-25,4,20,0,0,0,0
2020-04-27,1,21,1,1,0,0
2020-04-29,3,24,0,1,0,0
2020-05-02,1,25,2,3,0,0
2020-05-03,0,25,5,8,0,0
2020-05-06,0,25,4,12,0,0
2020-05-07,2,27,0,12,0,0
2020-05-08,1,28,0,12,0,0
2020-05-09,0,28,4,16,0,0
2020-05-11,3,31,0,16,0,0
2020-05-12,0,31,1,17,0,0
2020-05-15,7,38,0,17,0,0
2020-05-16,19,57,2,19,0,0
2020-05-17,8,65,0,19,0,0
2020-05-18,6,71,0,19,0,0
2020-05-19,13,84,0,19,0,0
2020-05-20,10,94,0,19,0,0
2020-05-21,11,105,0,19,0,0
2020-05-22,6,111,4,23,0,0
2020-05-23,25,136,0,23,0,0
2020-05-24,12,148,0,23,0,0
2020-05-25,19,167,0,23,0,0
2020-05-26,3,170,6,29,0,0
2020-05-27,2,172,13,42,0,0
2020-05-28,0,172,8,50,0,0
2020-05-29,0,172,13,63,0,0
2020-05-30,0,172,16,79,0,0
2020-05-31,6,178,0,79,0,0
2020-06-01,1,179,23,102,1,1
2020-06-02,5,184,0,102,0,1
2020-06-03,3,187,0,102,0,1
2020-06-04,0,187,35,137,0,1
2020-06-05,10,197,16,153,0,1
2020-06-06,0,197,0,153,1,2
2020-06-07,5,202,2,155,0,2
2020-06-08,3,205,4,159,0,2
2020-06-09,17,222,9,168,0,2
2020-06-10,3,225,-2,166,0,2
2020-06-11,17,242,0,166,0,2
2020-06-12,6,248,0,166,0,2
2020-06-13,8,256,1,167,0,2
2020-06-14,3,259,4,171,0,2
2020-06-15,7,266,4,175,0,2
2020-06-16,3,269,3,178,0,2
2020-06-17,13,282,4,182,1,3
2020-06-19,16,298,0,182,0,3
2020-06-20,14,312,16,198,0,3
2020-06-22,0,312,40,238,0,3
2020-06-23,4,316,13,251,0,3
2020-06-24,5,321,0,251,0,3
2020-06-25,11,332,1,252,0,3
2020-06-26,14,346,8,260,0,3
2020-06-27,2,348,2,262,0,3
2020-06-28,10,358,12,274,0,3
2020-06-30,4,362,3,277,0,3
2020-07-01,6,368,19,296,0,3
2020-07-02,1,369,9,305,0,3
2020-07-03,2,371,0,305,0,3
2020-07-04,5,376,0,305,0,3
2020-07-05,2,378,0,305,0,3
2020-07-06,8,386,20,325,0,3
2020-07-07,7,393,0,325,1,4
2020-07-08,5,398,15,340,0,4
2020-07-09,7,405,3,343,1,5
2020-07-10,18,423,7,350,0,5
