dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,12,12,0,0,0,0
2020-04-04,1,13,0,0,0,0
2020-04-08,1,14,0,0,0,0
2020-04-09,6,20,0,0,0,0
2020-04-11,1,21,0,0,0,0
2020-04-12,7,28,0,0,0,0
2020-04-13,11,39,0,0,0,0
2020-04-14,14,53,0,0,0,0
2020-04-19,19,72,0,0,0,0
2020-04-22,26,98,0,0,0,0
2020-04-24,25,123,0,0,0,0
2020-04-25,37,160,0,0,0,0
2020-04-26,21,181,0,0,0,0
2020-04-28,0,181,1,1,0,0
2020-04-29,1,182,2,3,0,0
2020-04-30,5,187,0,3,0,0
2020-05-01,5,192,3,6,0,0
2020-05-02,10,202,0,6,0,0
2020-05-03,0,202,13,19,0,0
2020-05-04,3,205,8,27,0,0
2020-05-05,0,205,42,69,0,0
2020-05-07,0,205,33,102,0,0
2020-05-08,-2,203,15,117,0,0
2020-05-10,1,204,23,140,0,0
2020-05-12,-12,192,9,149,0,0
2020-05-14,16,208,0,149,0,0
2020-05-15,1,209,11,160,0,0
2020-05-16,10,219,18,178,0,0
2020-05-18,-1,218,1,179,0,0
2020-05-19,0,218,1,180,0,0
2020-05-21,1,219,0,180,0,0
2020-05-22,8,227,4,184,0,0
2020-05-23,0,227,1,185,0,0
2020-05-24,3,230,2,187,0,0
2020-05-25,1,231,3,190,0,0
2020-05-26,1,232,0,190,0,0
2020-05-27,2,234,3,193,0,0
2020-05-28,6,240,4,197,0,0
2020-05-29,8,248,0,197,0,0
2020-05-30,9,257,0,197,0,0
2020-05-31,1,258,0,197,0,0
2020-06-01,-3,255,6,203,0,0
2020-06-02,6,261,4,207,0,0
2020-06-04,3,264,0,207,0,0
2020-06-05,0,264,6,213,0,0
2020-06-06,2,266,1,214,0,0
2020-06-07,2,268,0,214,0,0
2020-06-08,4,272,5,219,0,0
2020-06-09,0,272,2,221,0,0
2020-06-10,1,273,1,222,0,0
2020-06-11,4,277,1,223,0,0
2020-06-12,6,283,0,223,0,0
2020-06-13,0,283,10,233,0,0
2020-06-14,4,287,1,234,0,0
2020-06-15,9,296,2,236,0,0
2020-06-16,3,299,3,239,0,0
2020-06-17,0,299,11,250,0,0
2020-06-18,19,318,2,252,0,0
2020-06-19,26,344,3,255,0,0
2020-06-20,4,348,0,255,0,0
2020-06-21,6,354,1,256,0,0
2020-06-22,-1,353,0,256,0,0
2020-06-23,4,357,1,257,0,0
2020-06-24,3,360,9,266,0,0
2020-06-25,3,363,13,279,0,0
2020-06-26,8,371,2,281,0,0
2020-06-27,7,378,1,282,0,0
2020-06-28,2,380,29,311,0,0
2020-06-29,7,387,14,325,0,0
2020-06-30,14,401,8,333,0,0
2020-07-01,9,410,4,337,0,0
2020-07-02,5,415,-1,336,0,0
2020-07-03,18,433,2,338,0,0
2020-07-04,7,440,5,343,0,0
2020-07-05,10,450,6,349,1,1
2020-07-06,7,457,4,353,0,1
2020-07-07,19,476,1,354,0,1
2020-07-08,8,484,7,361,0,1
2020-07-09,37,521,5,366,0,1
2020-07-10,7,528,20,386,1,2
