dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-14,6,6,0,0,0,0
2020-04-17,1,7,0,0,0,0
2020-04-23,1,8,0,0,0,0
2020-04-25,4,12,0,0,0,0
2020-04-26,1,13,0,0,0,0
2020-04-28,1,14,0,0,0,0
2020-04-29,4,18,0,0,0,0
2020-05-01,1,19,1,1,0,0
2020-05-03,2,21,2,3,0,0
2020-05-04,0,21,1,4,0,0
2020-05-05,0,21,2,6,0,0
2020-05-07,1,22,0,6,0,0
2020-05-08,5,27,0,6,0,0
2020-05-10,1,28,7,13,0,0
2020-05-11,2,30,0,13,0,0
2020-05-14,-2,28,5,18,0,0
2020-05-15,6,34,0,18,0,0
2020-05-16,11,45,2,20,0,0
2020-05-17,3,48,0,20,0,0
2020-05-18,7,55,0,20,0,0
2020-05-19,0,55,1,21,0,0
2020-05-20,2,57,0,21,0,0
2020-05-22,0,57,8,29,0,0
2020-05-23,4,61,0,29,0,0
2020-05-24,5,66,0,29,0,0
2020-05-25,1,67,7,36,0,0
2020-05-26,1,68,3,39,0,0
2020-05-27,10,78,4,43,0,0
2020-05-28,6,84,8,51,0,0
2020-05-29,3,87,0,51,0,0
2020-05-30,1,88,0,51,0,0
2020-05-31,13,101,3,54,0,0
2020-06-01,9,110,1,55,1,1
2020-06-02,3,113,1,56,0,1
2020-06-04,4,117,1,57,0,1
2020-06-05,10,127,1,58,0,1
2020-06-06,7,134,9,67,0,1
2020-06-07,9,143,3,70,0,1
2020-06-09,5,148,13,83,0,1
2020-06-10,5,153,1,84,0,1
2020-06-11,7,160,1,85,0,1
2020-06-12,8,168,5,90,0,1
2020-06-13,9,177,6,96,0,1
2020-06-14,5,182,1,97,2,3
2020-06-15,32,214,8,105,0,3
2020-06-16,8,222,8,113,0,3
2020-06-17,11,233,1,114,0,3
2020-06-18,2,235,22,136,0,3
2020-06-19,17,252,3,139,0,3
2020-06-20,2,254,6,145,1,4
2020-06-21,5,259,8,153,0,4
2020-06-22,16,275,11,164,0,4
2020-06-23,8,283,10,174,0,4
2020-06-24,4,287,19,193,0,4
2020-06-25,11,298,14,207,0,4
2020-06-26,7,305,16,223,0,4
2020-06-27,16,321,2,225,0,4
2020-06-28,9,330,19,244,1,5
2020-06-29,4,334,5,249,0,5
2020-06-30,8,342,3,252,1,6
2020-07-01,4,346,16,268,0,6
2020-07-02,7,353,8,276,1,7
2020-07-03,9,362,1,277,0,7
2020-07-04,18,380,12,289,0,7
2020-07-05,1,381,6,295,0,7
2020-07-06,18,399,16,311,0,7
2020-07-07,12,411,6,317,0,7
2020-07-08,5,416,3,320,1,8
2020-07-09,20,436,6,326,0,8
2020-07-10,24,460,6,332,0,8
