dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-16,1,1,0,0,0,0
2020-04-23,1,2,0,0,0,0
2020-04-25,19,21,0,0,0,0
2020-04-28,2,23,0,0,0,0
2020-05-01,3,26,0,0,0,0
2020-05-02,1,27,0,0,0,0
2020-05-03,-2,25,0,0,0,0
2020-05-04,1,26,0,0,0,0
2020-05-06,4,30,2,2,0,0
2020-05-11,1,31,13,15,0,0
2020-05-12,0,31,2,17,0,0
2020-05-13,1,32,2,19,1,1
2020-05-14,2,34,4,23,0,1
2020-05-15,2,36,2,25,0,1
2020-05-16,1,37,0,25,0,1
2020-05-17,2,39,0,25,0,1
2020-05-18,0,39,0,25,3,4
2020-05-19,1,40,0,25,0,4
2020-05-20,6,46,0,25,0,4
2020-05-22,6,52,0,25,0,4
2020-05-23,8,60,3,28,0,4
2020-05-24,-1,59,0,28,0,4
2020-05-25,5,64,0,28,1,5
2020-05-26,0,64,3,31,1,6
2020-05-27,5,69,0,31,0,6
2020-05-28,9,78,0,31,0,6
2020-05-29,1,79,0,31,0,6
2020-05-31,3,82,4,35,0,6
2020-06-01,24,106,1,36,0,6
2020-06-02,11,117,0,36,0,6
2020-06-03,0,117,5,41,0,6
2020-06-04,13,130,5,46,0,6
2020-06-05,5,135,8,54,0,6
2020-06-06,1,136,0,54,0,6
2020-06-07,5,141,0,54,0,6
2020-06-08,4,145,0,54,0,6
2020-06-09,8,153,0,54,1,7
2020-06-10,2,155,7,61,0,7
2020-06-11,1,156,0,61,0,7
2020-06-12,1,157,24,85,0,7
2020-06-13,1,158,9,94,0,7
2020-06-14,1,159,3,97,0,7
2020-06-15,1,160,15,112,0,7
2020-06-16,4,164,0,112,0,7
2020-06-17,1,165,2,114,0,7
2020-06-18,3,168,8,122,0,7
2020-06-19,2,170,18,140,0,7
2020-06-20,12,182,1,141,0,7
2020-06-21,0,182,2,143,0,7
2020-06-22,13,195,3,146,0,7
2020-06-23,4,199,2,148,0,7
2020-06-24,4,203,1,149,0,7
2020-06-25,2,205,1,150,0,7
2020-06-26,5,210,2,152,0,7
2020-06-27,6,216,1,153,0,7
2020-06-28,2,218,3,156,0,7
2020-06-29,14,232,0,156,0,7
2020-06-30,2,234,1,157,0,7
2020-07-01,6,240,15,172,0,7
2020-07-02,8,248,11,183,0,7
2020-07-03,8,256,5,188,0,7
2020-07-04,15,271,4,192,0,7
2020-07-05,13,284,2,194,0,7
2020-07-06,1,285,4,198,0,7
2020-07-07,2,287,7,205,0,7
2020-07-08,17,304,2,207,0,7
2020-07-09,26,330,12,219,0,7
2020-07-10,13,343,2,221,0,7
