dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-23,3,3,0,0,0,0
2020-04-25,1,4,0,0,0,0
2020-04-26,1,5,0,0,0,0
2020-04-27,0,5,0,0,1,1
2020-05-02,1,6,0,0,0,1
2020-05-04,1,7,0,0,0,1
2020-05-06,1,8,0,0,0,1
2020-05-08,1,9,3,3,0,1
2020-05-10,3,12,0,3,0,1
2020-05-14,2,14,0,3,0,1
2020-05-17,3,17,1,4,0,1
2020-05-19,5,22,1,5,0,1
2020-05-21,6,28,0,5,0,1
2020-05-22,1,29,2,7,0,1
2020-05-23,0,29,3,10,0,1
2020-05-25,0,29,2,12,0,1
2020-05-28,0,29,1,13,0,1
2020-05-30,0,29,2,15,0,1
2020-06-01,3,32,5,20,0,1
2020-06-02,2,34,0,20,0,1
2020-06-04,5,39,7,27,0,1
2020-06-05,3,42,0,27,0,1
2020-06-06,0,42,1,28,0,1
2020-06-07,2,44,0,28,0,1
2020-06-08,2,46,0,28,0,1
2020-06-09,1,47,0,28,0,1
2020-06-15,1,48,9,37,0,1
2020-06-16,3,51,0,37,0,1
2020-06-18,0,51,4,41,0,1
2020-06-19,0,51,2,43,0,1
2020-06-20,1,52,3,46,0,1
2020-06-21,1,53,0,46,0,1
2020-06-24,2,55,0,46,0,1
2020-06-25,1,56,0,46,0,1
2020-06-26,1,57,1,47,0,1
2020-06-27,1,58,3,50,0,1
2020-06-29,1,59,0,50,0,1
2020-07-01,9,68,1,51,0,1
2020-07-02,1,69,1,52,0,1
2020-07-03,1,70,0,52,0,1
2020-07-04,1,71,0,52,1,2
2020-07-05,4,75,2,54,0,2
2020-07-06,0,75,1,55,0,2
2020-07-07,1,76,1,56,0,2
2020-07-08,3,79,1,57,0,2
2020-07-09,0,79,1,58,0,2
