dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,8,8,0,0,0,0
2020-04-08,2,10,0,0,0,0
2020-04-14,3,13,0,0,0,0
2020-04-16,1,14,0,0,0,0
2020-04-18,3,17,0,0,0,0
2020-04-25,1,18,0,0,0,0
2020-04-28,0,18,2,2,0,0
2020-04-30,0,18,3,5,0,0
2020-05-08,2,20,0,5,0,0
2020-05-09,0,20,2,7,0,0
2020-05-10,0,20,2,9,0,0
2020-05-11,5,25,0,9,0,0
2020-05-12,-1,24,0,9,0,0
2020-05-17,8,32,0,9,0,0
2020-05-22,5,37,0,9,0,0
2020-05-24,0,37,-2,7,0,0
2020-05-26,0,37,5,12,0,0
2020-05-27,1,38,0,12,0,0
2020-05-28,0,38,9,21,0,0
2020-05-30,1,39,0,21,0,0
2020-06-01,1,40,6,27,0,0
2020-06-04,1,41,0,27,0,0
2020-06-05,1,42,0,27,0,0
2020-06-07,0,42,1,28,0,0
2020-06-11,1,43,2,30,0,0
2020-06-13,1,44,0,30,0,0
2020-06-14,1,45,0,30,0,0
2020-06-16,1,46,0,30,0,0
2020-06-18,1,47,0,30,0,0
2020-06-19,1,48,0,30,0,0
2020-06-20,2,50,0,30,0,0
2020-06-21,2,52,1,31,0,0
2020-06-22,2,54,2,33,0,0
2020-06-23,2,56,1,34,0,0
2020-06-24,3,59,1,35,0,0
2020-06-25,1,60,1,36,0,0
2020-06-26,1,61,0,36,0,0
2020-06-27,0,61,1,37,0,0
2020-07-01,0,61,1,38,0,0
2020-07-02,0,61,6,44,0,0
2020-07-04,2,63,0,44,0,0
2020-07-05,1,64,0,44,0,0
2020-07-06,0,64,0,44,1,1
2020-07-07,5,69,4,48,0,1
2020-07-08,4,73,0,48,0,1
2020-07-09,3,76,0,48,0,1
2020-07-10,12,88,1,49,0,1
