dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-20,1,1,0,0,0,0
2020-04-22,1,2,0,0,0,0
2020-04-25,1,3,0,0,0,0
2020-05-07,1,4,0,0,0,0
2020-05-09,0,4,1,1,0,0
2020-05-10,1,5,2,3,0,0
2020-05-13,4,9,0,3,0,0
2020-05-14,5,14,0,3,0,0
2020-05-16,6,20,0,3,0,0
2020-05-18,7,27,0,3,0,0
2020-05-19,1,28,0,3,0,0
2020-05-20,0,28,1,4,0,0
2020-05-21,14,42,0,4,0,0
2020-05-22,0,42,1,5,0,0
2020-05-23,18,60,0,5,0,0
2020-05-25,2,62,0,5,0,0
2020-05-26,6,68,4,9,0,0
2020-05-27,0,68,1,10,0,0
2020-05-28,0,68,8,18,0,0
2020-05-29,8,76,4,22,0,0
2020-05-30,4,80,0,22,0,0
2020-05-31,8,88,3,25,0,0
2020-06-01,2,90,1,26,0,0
2020-06-04,1,91,0,26,0,0
2020-06-05,6,97,20,46,0,0
2020-06-06,3,100,13,59,1,1
2020-06-08,2,102,0,59,0,1
2020-06-09,2,104,2,61,0,1
2020-06-10,1,105,7,68,0,1
2020-06-11,3,108,5,73,0,1
2020-06-12,6,114,1,74,0,1
2020-06-13,0,114,4,78,0,1
2020-06-14,9,123,8,86,0,1
2020-06-15,3,126,0,86,0,1
2020-06-16,15,141,0,86,0,1
2020-06-17,1,142,1,87,0,1
2020-06-18,3,145,4,91,0,1
2020-06-19,20,165,5,96,0,1
2020-06-20,4,169,2,98,0,1
2020-06-21,2,171,3,101,0,1
2020-06-22,2,173,2,103,0,1
2020-06-23,4,177,6,109,0,1
2020-06-24,3,180,2,111,0,1
2020-06-25,2,182,7,118,0,1
2020-06-26,2,184,7,125,2,3
2020-06-27,3,187,6,131,0,3
2020-06-28,5,192,2,133,0,3
2020-06-29,6,198,16,149,0,3
2020-06-30,1,199,6,155,1,4
2020-07-01,4,203,5,160,0,4
2020-07-02,0,203,1,161,0,4
2020-07-03,3,206,1,162,0,4
2020-07-04,-4,202,4,166,0,4
2020-07-05,8,210,4,170,0,4
2020-07-06,3,213,0,170,0,4
2020-07-07,1,214,1,171,0,4
2020-07-08,3,217,3,174,0,4
2020-07-09,4,221,5,179,1,5
2020-07-10,3,224,5,184,1,6
