dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-21,1,1,0,0,0,0
2020-03-28,1,2,0,0,0,0
2020-04-04,3,5,0,0,0,0
2020-04-05,1,6,0,0,2,2
2020-04-08,2,8,0,0,0,2
2020-04-17,2,10,0,0,0,2
2020-04-18,3,13,0,0,0,2
2020-04-21,2,15,0,0,0,2
2020-04-22,3,18,0,0,0,2
2020-04-24,7,25,0,0,0,2
2020-04-26,11,36,0,0,0,2
2020-04-28,13,49,0,0,0,2
2020-04-29,3,52,0,0,0,2
2020-04-30,8,60,0,0,0,2
2020-05-03,3,63,0,0,0,2
2020-05-04,0,63,4,4,0,2
2020-05-05,4,67,1,5,0,2
2020-05-06,9,76,0,5,0,2
2020-05-07,0,76,8,13,0,2
2020-05-08,1,77,0,13,0,2
2020-05-09,4,81,0,13,0,2
2020-05-10,1,82,1,14,0,2
2020-05-11,3,85,23,37,0,2
2020-05-12,1,86,6,43,0,2
2020-05-13,3,89,3,46,0,2
2020-05-14,2,91,1,47,0,2
2020-05-15,3,94,0,47,0,2
2020-05-16,1,95,0,47,0,2
2020-05-17,1,96,10,57,0,2
2020-05-18,9,105,0,57,2,4
2020-05-19,11,116,0,57,1,5
2020-05-20,7,123,2,59,0,5
2020-05-21,0,123,7,66,0,5
2020-05-23,12,135,2,68,0,5
2020-05-24,13,148,1,69,0,5
2020-05-25,10,158,1,70,0,5
2020-05-26,2,160,0,70,0,5
2020-05-27,9,169,5,75,0,5
2020-05-28,1,170,4,79,0,5
2020-05-29,2,172,11,90,0,5
2020-05-30,2,174,9,99,0,5
2020-05-31,14,188,6,105,0,5
2020-06-01,4,192,4,109,0,5
2020-06-02,4,196,1,110,0,5
2020-06-03,0,196,1,111,0,5
2020-06-04,9,205,0,111,0,5
2020-06-05,13,218,1,112,1,6
2020-06-06,18,236,0,112,0,6
2020-06-07,5,241,9,121,0,6
2020-06-08,1,242,2,123,0,6
2020-06-09,4,246,12,135,0,6
2020-06-10,1,247,0,135,0,6
2020-06-11,9,256,1,136,0,6
2020-06-12,5,261,18,154,1,7
2020-06-13,16,277,13,167,0,7
2020-06-14,4,281,3,170,0,7
2020-06-15,4,285,23,193,0,7
2020-06-16,7,292,4,197,0,7
2020-06-17,9,301,5,202,2,9
2020-06-18,3,304,7,209,1,10
2020-06-19,15,319,4,213,0,10
2020-06-20,11,330,0,213,2,12
2020-06-21,4,334,8,221,0,12
2020-06-22,13,347,5,226,0,12
2020-06-23,12,359,2,228,2,14
2020-06-24,30,389,8,236,1,15
2020-06-25,8,397,15,251,1,16
2020-06-26,27,424,13,264,0,16
2020-06-27,4,428,6,270,1,17
2020-06-28,15,443,1,271,0,17
2020-06-29,46,489,4,275,0,17
2020-06-30,9,498,8,283,4,21
2020-07-01,16,514,18,301,0,21
2020-07-02,49,563,13,314,3,24
2020-07-03,34,597,10,324,1,25
2020-07-04,12,609,20,344,3,28
2020-07-05,38,647,0,344,0,28
2020-07-06,17,664,13,357,1,29
2020-07-07,29,693,19,376,2,31
2020-07-08,4,697,11,387,0,31
2020-07-09,32,729,20,407,0,31
2020-07-10,49,778,11,418,2,33
