dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,1,1,0,0,0,0
2020-05-13,1,2,0,0,0,0
2020-05-20,1,3,0,0,0,0
2020-05-21,1,4,0,0,0,0
2020-05-23,3,7,0,0,0,0
2020-05-24,5,12,2,2,0,0
2020-05-26,3,15,0,2,0,0
2020-05-27,6,21,0,2,0,0
2020-05-28,3,24,0,2,0,0
2020-05-29,21,45,0,2,0,0
2020-05-31,18,63,0,2,0,0
2020-06-02,0,63,8,10,0,0
2020-06-04,1,64,7,17,0,0
2020-06-05,5,69,4,21,1,1
2020-06-06,4,73,25,46,0,1
2020-06-07,0,73,13,59,0,1
2020-06-08,0,73,2,61,0,1
2020-06-09,1,74,0,61,0,1
2020-06-10,0,74,5,66,0,1
2020-06-12,0,74,4,70,0,1
2020-06-14,0,74,1,71,0,1
2020-06-15,1,75,0,71,0,1
2020-06-16,10,85,1,72,0,1
2020-06-17,14,99,0,72,0,1
2020-06-18,13,112,0,72,0,1
2020-06-19,14,126,1,73,0,1
2020-06-20,11,137,0,73,1,2
2020-06-21,1,138,0,73,0,2
2020-06-22,11,149,1,74,0,2
2020-06-23,14,163,9,83,0,2
2020-06-24,0,163,11,94,0,2
2020-06-25,2,165,13,107,0,2
2020-06-26,0,165,7,114,0,2
2020-06-27,11,176,31,145,0,2
2020-06-28,0,176,2,147,0,2
2020-06-29,0,176,5,152,0,2
2020-07-01,5,181,5,157,0,2
2020-07-02,1,182,0,157,0,2
2020-07-03,8,190,5,162,0,2
2020-07-04,2,192,1,163,0,2
2020-07-05,1,193,1,164,0,2
2020-07-06,3,196,0,164,0,2
2020-07-07,2,198,10,174,0,2
2020-07-08,0,198,2,176,0,2
2020-07-09,0,198,2,178,0,2
