dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-19,2,2,0,0,0,0
2020-05-21,9,11,0,0,0,0
2020-05-22,-5,6,0,0,0,0
2020-05-24,2,8,0,0,0,0
2020-05-29,8,16,0,0,0,0
2020-06-01,5,21,5,5,0,0
2020-06-02,0,21,1,6,0,0
2020-06-04,2,23,4,10,0,0
2020-06-05,0,23,1,11,0,0
2020-06-06,4,27,0,11,0,0
2020-06-07,6,33,0,11,0,0
2020-06-08,2,35,7,18,0,0
2020-06-09,5,40,0,18,0,0
2020-06-14,0,40,11,29,0,0
2020-06-15,2,42,4,33,0,0
2020-06-17,5,47,0,33,0,0
2020-06-18,0,47,7,40,1,1
2020-06-19,7,54,2,42,0,1
2020-06-20,5,59,0,42,0,1
2020-06-21,0,59,3,45,0,1
2020-06-22,0,59,1,46,0,1
2020-06-23,4,63,0,46,0,1
2020-06-24,5,68,0,46,0,1
2020-06-25,6,74,4,50,0,1
2020-06-26,0,74,3,53,0,1
2020-06-27,7,81,2,55,0,1
2020-06-29,0,81,6,61,0,1
2020-06-30,2,83,5,66,0,1
2020-07-01,0,83,1,67,0,1
2020-07-02,0,83,5,72,0,1
2020-07-03,3,86,2,74,0,1
2020-07-04,6,92,0,74,0,1
2020-07-05,1,93,0,74,0,1
2020-07-06,0,93,6,80,0,1
2020-07-07,0,93,2,82,0,1
2020-07-09,0,93,3,85,0,1
2020-07-10,0,93,7,92,0,1
