dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-23,7,7,0,0,0,0
2020-05-24,1,8,0,0,0,0
2020-05-31,4,12,0,0,0,0
2020-06-01,21,33,7,7,0,0
2020-06-02,0,33,0,7,1,1
2020-06-04,3,36,0,7,0,1
2020-06-05,3,39,0,7,0,1
2020-06-06,6,45,0,7,0,1
2020-06-07,1,46,0,7,0,1
2020-06-08,2,48,20,27,0,1
2020-06-10,0,48,3,30,0,1
2020-06-12,0,48,8,38,0,1
2020-06-13,0,48,6,44,0,1
2020-06-14,0,48,6,50,0,1
2020-06-15,0,48,-6,44,0,1
2020-06-23,2,50,0,44,0,1
2020-06-24,1,51,0,44,0,1
2020-06-26,1,52,0,44,0,1
2020-06-27,1,53,0,44,0,1
2020-06-28,1,54,3,47,0,1
2020-06-30,1,55,0,47,0,1
2020-07-01,2,57,0,47,0,1
2020-07-03,2,59,2,49,0,1
2020-07-06,0,59,2,51,0,1
2020-07-07,2,61,0,51,0,1
2020-07-08,0,61,2,53,0,1
2020-07-09,2,63,0,53,0,1
2020-07-10,2,65,0,53,0,1
