dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,1,1,0,0,0,0
2020-04-08,2,3,0,0,0,0
2020-04-14,2,5,0,0,0,0
2020-04-18,2,7,0,0,0,0
2020-04-30,0,7,5,5,0,0
2020-05-08,1,8,0,5,0,0
2020-05-09,-1,7,0,5,0,0
2020-05-14,0,7,1,6,0,0
2020-05-17,0,7,1,7,0,0
2020-05-20,1,8,0,7,0,0
2020-05-21,2,10,0,7,0,0
2020-05-22,2,12,0,7,0,0
2020-05-23,2,14,0,7,0,0
2020-05-25,9,23,0,7,0,0
2020-05-26,5,28,0,7,0,0
2020-05-27,7,35,0,7,0,0
2020-05-28,8,43,0,7,0,0
2020-05-29,5,48,0,7,0,0
2020-05-30,3,51,0,7,0,0
2020-05-31,17,68,0,7,0,0
2020-06-01,8,76,0,7,0,0
2020-06-02,1,77,6,13,0,0
2020-06-03,9,86,0,13,0,0
2020-06-05,1,87,16,29,0,0
2020-06-06,21,108,8,37,0,0
2020-06-07,27,135,7,44,0,0
2020-06-08,9,144,1,45,0,0
2020-06-09,7,151,0,45,0,0
2020-06-10,3,154,9,54,0,0
2020-06-11,16,170,21,75,0,0
2020-06-12,30,200,0,75,0,0
2020-06-13,4,204,8,83,0,0
2020-06-14,5,209,0,83,0,0
2020-06-15,2,211,0,83,0,0
2020-06-16,27,238,12,95,0,0
2020-06-17,3,241,3,98,0,0
2020-06-18,5,246,15,113,0,0
2020-06-19,8,254,0,113,0,0
2020-06-20,5,259,3,116,0,0
2020-06-21,12,271,0,116,0,0
2020-06-22,17,288,10,126,0,0
2020-06-23,9,297,8,134,0,0
2020-06-24,6,303,16,150,0,0
2020-06-25,10,313,0,150,0,0
2020-06-28,0,313,4,154,0,0
2020-06-30,0,313,82,236,0,0
2020-07-01,2,315,5,241,0,0
2020-07-02,0,315,27,268,0,0
2020-07-03,2,317,13,281,0,0
2020-07-04,1,318,0,281,0,0
2020-07-05,1,319,5,286,0,0
2020-07-06,5,324,7,293,0,0
2020-07-07,7,331,7,300,0,0
2020-07-08,6,337,0,300,0,0
2020-07-09,0,337,1,301,0,0
2020-07-10,7,344,0,301,0,0
