dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,5,5,0,0,0,0
2020-04-05,1,6,0,0,0,0
2020-04-06,2,8,0,0,0,0
2020-04-17,1,9,0,0,0,0
2020-04-24,1,10,0,0,0,0
2020-04-30,0,10,2,2,0,0
2020-05-09,0,10,1,3,0,0
2020-05-12,1,11,0,3,0,0
2020-05-13,1,12,0,3,0,0
2020-05-14,0,12,1,4,0,0
2020-05-15,2,14,0,4,0,0
2020-05-16,1,15,0,4,0,0
2020-05-18,1,16,0,4,0,0
2020-05-19,7,23,0,4,0,0
2020-05-20,2,25,0,4,0,0
2020-05-21,2,27,0,4,0,0
2020-05-22,1,28,0,4,0,0
2020-05-23,57,85,0,4,0,0
2020-05-24,32,117,0,4,0,0
2020-05-25,9,126,0,4,0,0
2020-05-26,10,136,0,4,0,0
2020-05-27,2,138,12,16,0,0
2020-05-28,1,139,0,16,0,0
2020-05-29,85,224,1,17,0,0
2020-05-30,5,229,0,17,1,1
2020-05-31,31,260,0,17,0,1
2020-06-01,3,263,86,103,0,1
2020-06-02,22,285,8,111,0,1
2020-06-03,15,300,1,112,0,1
2020-06-04,10,310,10,122,0,1
2020-06-05,4,314,2,124,0,1
2020-06-06,7,321,3,127,0,1
2020-06-07,2,323,0,127,0,1
2020-06-08,1,324,83,210,0,1
2020-06-09,4,328,0,210,0,1
2020-06-10,6,334,0,210,0,1
2020-06-14,1,335,5,215,0,1
2020-06-15,3,338,0,215,0,1
2020-06-16,2,340,6,221,1,2
2020-06-17,8,348,8,229,0,2
2020-06-18,6,354,9,238,0,2
2020-06-19,7,361,24,262,0,2
2020-06-20,5,366,0,262,0,2
2020-06-22,2,368,0,262,0,2
2020-06-23,8,376,0,262,0,2
2020-06-24,7,383,9,271,0,2
2020-06-25,28,411,0,271,0,2
2020-06-26,14,425,27,298,0,2
2020-06-27,29,454,0,298,0,2
2020-06-28,14,468,34,332,1,3
2020-06-29,2,470,2,334,0,3
2020-06-30,4,474,0,334,0,3
2020-07-01,22,496,5,339,0,3
2020-07-02,17,513,0,339,0,3
2020-07-03,13,526,0,339,0,3
2020-07-04,4,530,0,339,0,3
2020-07-05,7,537,0,339,0,3
2020-07-06,4,541,13,352,0,3
2020-07-07,5,546,3,355,0,3
2020-07-08,2,548,3,358,1,4
2020-07-09,12,560,9,367,0,4
2020-07-10,4,564,0,367,0,4
