dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-25,1,1,0,0,0,0
2020-05-15,1,2,0,0,0,0
2020-05-19,2,4,0,0,0,0
2020-05-23,2,6,0,0,0,0
2020-05-24,1,7,0,0,0,0
2020-05-25,3,10,0,0,0,0
2020-05-27,13,23,0,0,0,0
2020-05-29,5,28,2,2,1,1
2020-05-31,6,34,0,2,0,1
2020-06-01,0,34,1,3,0,1
2020-06-02,3,37,3,6,0,1
2020-06-03,1,38,-3,3,0,1
2020-06-04,4,42,5,8,0,1
2020-06-05,1,43,1,9,0,1
2020-06-06,0,43,5,14,0,1
2020-06-07,0,43,1,15,0,1
2020-06-08,4,47,0,15,0,1
2020-06-09,4,51,6,21,0,1
2020-06-10,1,52,6,27,0,1
2020-06-11,1,53,0,27,0,1
2020-06-12,0,53,0,27,2,3
2020-06-13,9,62,0,27,0,3
2020-06-15,3,65,1,28,0,3
2020-06-16,6,71,0,28,0,3
2020-06-17,1,72,8,36,0,3
2020-06-18,19,91,3,39,0,3
2020-06-19,2,93,9,48,0,3
2020-06-20,2,95,0,48,0,3
2020-06-21,4,99,1,49,0,3
2020-06-22,10,109,0,49,0,3
2020-06-23,20,129,0,49,0,3
2020-06-24,9,138,7,56,0,3
2020-06-25,2,140,5,61,0,3
2020-06-27,1,141,2,63,0,3
2020-06-28,0,141,14,77,0,3
2020-06-29,0,141,7,84,0,3
2020-06-30,1,142,6,90,0,3
2020-07-01,0,142,2,92,0,3
2020-07-02,1,143,0,92,0,3
2020-07-03,0,143,14,106,0,3
2020-07-04,1,144,19,125,0,3
2020-07-05,1,145,4,129,0,3
2020-07-06,2,147,5,134,0,3
2020-07-07,3,150,1,135,0,3
2020-07-08,4,154,6,141,1,4
2020-07-09,5,159,0,141,0,4
2020-07-10,1,160,1,142,0,4
