dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-20,6,6,0,0,0,0
2020-05-24,3,9,0,0,0,0
2020-05-25,2,11,0,0,0,0
2020-05-26,14,25,0,0,0,0
2020-05-27,27,52,0,0,0,0
2020-05-28,10,62,0,0,0,0
2020-05-29,8,70,0,0,0,0
2020-05-30,4,74,0,0,0,0
2020-05-31,3,77,0,0,0,0
2020-06-02,14,91,0,0,0,0
2020-06-03,0,91,5,5,0,0
2020-06-04,10,101,0,5,0,0
2020-06-05,8,109,0,5,0,0
2020-06-06,9,118,29,34,0,0
2020-06-07,3,121,64,98,0,0
2020-06-08,28,149,0,98,0,0
2020-06-09,72,221,0,98,0,0
2020-06-10,2,223,0,98,0,0
2020-06-11,33,256,1,99,0,0
2020-06-12,3,259,0,99,0,0
2020-06-13,23,282,93,192,0,0
2020-06-14,9,291,0,192,0,0
2020-06-15,3,294,60,252,0,0
2020-06-16,14,308,2,254,0,0
2020-06-17,9,317,0,254,0,0
2020-06-18,1,318,8,262,0,0
2020-06-19,28,346,0,262,0,0
2020-06-20,24,370,0,262,0,0
2020-06-21,6,376,1,263,0,0
2020-06-22,1,377,0,263,0,0
2020-06-23,15,392,58,321,0,0
2020-06-24,17,409,0,321,2,2
2020-06-25,1,410,1,322,0,2
2020-06-27,2,412,0,322,0,2
2020-06-28,4,416,32,354,0,2
2020-06-29,0,416,1,355,0,2
2020-06-30,0,416,28,383,0,2
2020-07-01,4,420,0,383,0,2
2020-07-02,0,420,19,402,0,2
2020-07-03,0,420,13,415,0,2
2020-07-04,1,421,1,416,0,2
2020-07-06,-1,420,2,418,0,2
2020-07-07,1,421,0,418,0,2
2020-07-09,5,426,0,418,0,2
2020-07-10,1,427,0,418,0,2
