dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-02,3,3,0,0,0,0
2020-04-08,1,4,0,0,0,0
2020-04-29,1,5,0,0,0,0
2020-04-30,2,7,0,0,0,0
2020-05-03,1,8,0,0,0,0
2020-05-08,1,9,0,0,0,0
2020-05-09,4,13,0,0,0,0
2020-05-14,3,16,0,0,0,0
2020-05-15,0,16,1,1,0,0
2020-05-16,4,20,0,1,0,0
2020-05-19,3,23,0,1,0,0
2020-05-20,4,27,0,1,0,0
2020-05-21,2,29,0,1,0,0
2020-05-22,2,31,0,1,0,0
2020-05-23,3,34,2,3,0,0
2020-05-24,9,43,0,3,0,0
2020-05-25,5,48,0,3,0,0
2020-05-26,2,50,0,3,0,0
2020-05-27,7,57,3,6,0,0
2020-05-29,5,62,17,23,0,0
2020-05-31,20,82,0,23,0,0
2020-06-01,0,82,12,35,0,0
2020-06-02,0,82,4,39,0,0
2020-06-03,1,83,1,40,0,0
2020-06-04,1,84,2,42,0,0
2020-06-05,1,85,0,42,0,0
2020-06-06,3,88,0,42,0,0
2020-06-07,2,90,0,42,0,0
2020-06-08,1,91,17,59,0,0
2020-06-10,4,95,15,74,0,0
2020-06-11,4,99,1,75,0,0
2020-06-12,9,108,0,75,0,0
2020-06-13,5,113,2,77,1,1
2020-06-14,1,114,0,77,1,2
2020-06-15,0,114,5,82,0,2
2020-06-16,8,122,0,82,0,2
2020-06-17,3,125,0,82,0,2
2020-06-20,12,137,10,92,0,2
2020-06-22,15,152,0,92,0,2
2020-06-23,26,178,0,92,1,3
2020-06-24,26,204,12,104,0,3
2020-06-25,11,215,0,104,0,3
2020-06-26,13,228,8,112,0,3
2020-06-27,1,229,13,125,0,3
2020-06-28,0,229,4,129,0,3
2020-06-29,2,231,14,143,0,3
2020-06-30,28,259,0,143,0,3
2020-07-01,2,261,43,186,0,3
2020-07-02,16,277,23,209,0,3
2020-07-03,12,289,10,219,0,3
2020-07-04,17,306,0,219,0,3
2020-07-05,4,310,1,220,0,3
2020-07-06,20,330,0,220,0,3
2020-07-07,25,355,3,223,0,3
2020-07-08,3,358,0,223,0,3
2020-07-09,3,361,0,223,0,3
2020-07-10,41,402,5,228,0,3
