dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-23,1,1,0,0,0,0
2020-05-25,2,3,0,0,0,0
2020-05-27,12,15,0,0,0,0
2020-05-28,4,19,2,2,0,0
2020-05-29,2,21,0,2,0,0
2020-05-30,7,28,9,11,0,0
2020-05-31,8,36,7,18,0,0
2020-06-01,7,43,0,18,0,0
2020-06-02,13,56,0,18,0,0
2020-06-03,15,71,1,19,0,0
2020-06-04,24,95,14,33,0,0
2020-06-05,9,104,0,33,0,0
2020-06-06,0,104,8,41,0,0
2020-06-07,11,115,1,42,0,0
2020-06-08,25,140,1,43,0,0
2020-06-10,13,153,0,43,0,0
2020-06-11,18,171,0,43,0,0
2020-06-12,5,176,0,43,0,0
2020-06-13,3,179,44,87,0,0
2020-06-15,1,180,1,88,0,0
2020-06-16,2,182,0,88,0,0
2020-06-17,1,183,32,120,0,0
2020-06-19,7,190,18,138,0,0
2020-06-20,4,194,1,139,0,0
2020-06-21,3,197,0,139,0,0
2020-06-22,4,201,6,145,0,0
2020-06-23,17,218,13,158,0,0
2020-06-24,3,221,19,177,0,0
2020-06-25,2,223,0,177,0,0
2020-06-26,9,232,3,180,0,0
2020-06-27,5,237,0,180,0,0
2020-06-28,4,241,9,189,0,0
2020-06-29,1,242,0,189,0,0
2020-06-30,6,248,14,203,1,1
2020-07-01,0,248,2,205,-1,0
2020-07-02,6,254,3,208,0,0
2020-07-03,5,259,2,210,0,0
2020-07-04,2,261,8,218,0,0
2020-07-05,6,267,10,228,0,0
2020-07-06,7,274,9,237,0,0
2020-07-07,2,276,1,238,0,0
2020-07-08,10,286,0,238,0,0
2020-07-09,11,297,7,245,0,0
2020-07-10,6,303,1,246,0,0
