dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-03,3,3,0,0,0,0
2020-05-07,3,6,0,0,0,0
2020-05-08,0,6,3,3,0,0
2020-05-11,1,7,0,3,0,0
2020-05-12,0,7,1,4,0,0
2020-05-13,0,7,2,6,0,0
2020-05-18,4,11,0,6,0,0
2020-05-19,1,12,0,6,0,0
2020-05-20,4,16,0,6,0,0
2020-05-22,1,17,0,6,0,0
2020-05-23,1,18,0,6,0,0
2020-05-24,2,20,0,6,0,0
2020-05-25,2,22,0,6,0,0
2020-05-26,10,32,1,7,0,0
2020-05-27,1,33,4,11,0,0
2020-05-28,27,60,0,11,0,0
2020-05-29,21,81,5,16,0,0
2020-05-30,22,103,10,26,0,0
2020-05-31,27,130,4,30,0,0
2020-06-01,30,160,33,63,0,0
2020-06-02,6,166,12,75,1,1
2020-06-03,1,167,14,89,0,1
2020-06-04,14,181,17,106,0,1
2020-06-05,6,187,16,122,0,1
2020-06-06,7,194,37,159,0,1
2020-06-07,2,196,6,165,0,1
2020-06-08,8,204,6,171,0,1
2020-06-09,29,233,4,175,0,1
2020-06-10,2,235,4,179,0,1
2020-06-11,4,239,6,185,0,1
2020-06-12,3,242,17,202,0,1
2020-06-13,1,243,0,202,0,1
2020-06-14,9,252,13,215,0,1
2020-06-15,2,254,3,218,0,1
2020-06-16,13,267,0,218,0,1
2020-06-17,5,272,1,219,0,1
2020-06-18,5,277,2,221,0,1
2020-06-19,3,280,1,222,0,1
2020-06-20,0,280,7,229,1,2
2020-06-21,0,280,1,230,0,2
2020-06-22,1,281,14,244,0,2
2020-06-23,8,289,4,248,0,2
2020-06-24,0,289,2,250,0,2
2020-06-25,3,292,8,258,0,2
2020-06-26,0,292,12,270,0,2
2020-06-27,4,296,0,270,0,2
2020-06-28,0,296,5,275,0,2
2020-06-29,0,296,1,276,0,2
2020-06-30,9,305,0,276,1,3
2020-07-01,0,305,1,277,0,3
2020-07-03,0,305,8,285,0,3
2020-07-04,6,311,2,287,0,3
2020-07-06,1,312,4,291,0,3
2020-07-07,2,314,0,291,0,3
2020-07-08,2,316,0,291,0,3
2020-07-09,7,323,9,300,0,3
2020-07-10,3,326,0,300,0,3
